영화제목,평점,예매율,개봉일,영화설명,관람등급
뽀로로 극장판 드래곤캐슬 대모험,7.6,0.6,22.07.28,"깊은 산속 드래곤캐슬에꼬마 드래곤 왕 아서의 막강한 힘이 봉인된 보석 ‘드래곤 하트’를 빼앗아왕이 되려는 수상한 마법사 게드가 나타난다.한편, 우연히 ‘드래곤 하트’의 힘을 흡수한 크롱이자이언트 크롱으로 변하면서 뽀로로와 친구들 역시 위험에 처한다.아서와 뽀로로와 친구들은악당 마법사 게드로부터 힘을 되찾고 친구들을 구하기 위해무적의 메카드래곤을 만들어 드래곤캐슬로 향하는데…!뽀로로와 친구들의 판타지 액션 어드벤처!과연 드래곤캐슬과 소중한 친구들을 지켜낼 수 있을까?",전체관람가
육사오(6/45),8.8,0.5,22.08.24,바람을 타고 군사분계선을 넘어가버린57억1등 당첨 로또를 둘러싼 남북 군인들간의 코믹 접선극.,12세이상관람가
극장판 살아남기 시리즈: 인체에서 살아남기,0.0,0.5,22.08.10,"나노미터의 작은 크기로 줄어드는 최첨단 탐사선히포크라테스호에 탑승한 지오와 뇌 박사.그 사실을 알 리 없는 피피는 무심코 히포크라테스호를 삼켜버리고 만다.얼떨결에 피피의 몸속으로 들어간 지오와 뇌 박사는상상을 초월하는 광경들을 마주하게 되는데..!과연 피피의 몸속에서는 무슨 일이?!신비한 미지의 세계,인체에서 펼쳐지는 극한 서바이벌 어드벤처가 시작된다!보너스 스토리!경이로운 심해로 떠난 지오와 친구들의 이야기도 함께 만나요~!",전체관람가
외계+인 1부,7.3,0.4,22.07.20,"“아주 오래전부터 외계인은 그들의 죄수를인간의 몸에 가두어 왔다”2022년 현재, `가드`(김우빈)와 `썬더`는 인간의 몸에 가두어진 외계인 죄수를 관리하며 지구에 살고 있다.어느 날, 서울 상공에 우주선이 나타나고형사 `문도석`(소지섭)은 기이한 광경을 목격하게 되는데..한편, 630년 전 고려에선 얼치기 도사 `무륵`(류준열)과 천둥 쏘는 처자 `이안`(김태리)이엄청난 현상금이 걸린 신검을 차지하기 위해 서로를 속고 속이는 가운데신검의 비밀을 찾는 두 신선 `흑설`(염정아)과 `청운`(조우진),가면 속의 `자장`(김의성)도 신검 쟁탈전에 나선다.그리고 우주선이 깊은 계곡에서 빛을 내며 떠오르는데…2022년 인간 속에 수감된 외계인 죄수를 쫓는 이들1391년 고려 말 소문 속의 신검을 차지하려는 도사들시간의 문이 열리고모든 것이 바뀌기 시작했다!",12세이상관람가
엘비스,8.8,0.4,22.07.13,"세계 최초의 아이돌, 시대의 아이콘, 영원한 슈퍼스타`엘비스`의 모든 것이 뜨겁게 펼쳐진다!미국 남부 멤피스에서 트럭을 몰며 음악의 꿈을 키우던 19살의 무명 가수 `엘비스`.지역 라디오의 작은 무대에 서게 된 `엘비스`는 어디서도 본 적 없는 몸짓과 퍼포먼스로 무대를 압도하고,그에게 매료된 관객들에게 뜨거운 환호성을 받는다.쇼 비즈니스 업계에서 일하던 `톰 파커`는 이를 목격하고`엘비스`에게 스타로 만들어주겠다고 약속하며 함께할 것을 제안한다.자신이 자라난 동네에서 보고 들은 흑인음악을 접목시킨독특한 음색과 리듬, 강렬한 퍼포먼스, 화려한 패션까지그의 모든 것이 대중을 사로잡으며 `엘비스`는 단숨에 스타의 반열에 올라선다.그러나 시대를 앞서 나간 치명적이고 반항적인 존재감은 혼란스러운 시대 상황과 갈등을 빚게 되고지금껏 쌓아온 모든 것이 한순간에 무너질 수 있다고 압박하는 `톰 파커`까지 가세해`엘비스`는 그의 뜻과는 다른 선택을 하게 된다.이로 인해 평생을 함께한 매니저 `톰 파커`와의 관계도 조금씩 어긋나기 시작하는데…",15세이상관람가
명탐정 코난: 할로윈의 신부,8.8,0.3,22.07.13,"트리플 페이스 아무로 토오루, 그의 목에 폭탄이 채워졌다?!극악무도한 폭파범 `플라먀`에 의해 교묘한 함정에 빠진 아무로 토오루!모든 것이 베일에 가려진 `플라먀`,유일한 단서는 아무로 토오루가 그의 경찰 동기들과 마지막으로 함께 했던 하루.이와 동시에 결혼식의 신부가 된 경시청의 사토 형사는 불길한 예감을 감출 수 없는데…도시 전체를 인질로 삼은 `플라먀`,그리고 이를 막으려 하는 아무로 토오루와 명탐정 코난의 숨 막히는 공조!다시 시작된 카운트다운, 할로윈의 밤이 광란으로 빛난다!",12세이상관람가
"굿 럭 투 유, 리오 그랜드",8.3,0.3,22.08.11,"""난 느껴본 적 없어요 누구와도 단 한번도""단 한번도 섹스에 만족해 본 적 없는 인생 6*년차 '낸시'남편과 아이들이 떠나고, 은퇴 후 혼자 남은 그녀는처음이자 마지막으로 자신만의 버킷리스트를 실행해보기로 결심한다 ""이끌리는 대로 다 잊고 당신만 생각해요”낯선 호텔, 모든 게 자신 없는 '낸시' 앞에 젊고 매력적인 '리오 그랜드'가 나타나고,처음 경험하는 퍼스널 서비스는 예상치 못한 해방감을 선사하는데...올 여름, 뜨겁게 용감해지고 싶은 당신을 위한 굿 럭 무비! ☻",청소년관람불가
뱅크시,5.5,0.2,22.08.11,강렬한 메시지를 분사하는 얼굴없는 예술가!미켈란젤로를 제치고 영국인이 가장 사랑하는 예술가 1위!온 세상의 벽을 칠하는 예술계의 안티히어로!뱅크시에 대한 매우 흥미롭고 강한 통찰!,전체관람가
멋진 세계,6.0,0.2,22.08.11,13년 만에 한 남자가 출소했다. 그가 본 세상은... 13년간 감옥에 복역 중이던 전직 야쿠자 미카미는 새로운 각오를 품고 출소한다.변해버린 사회에 적응하기 힘들어 매번 트러블을 일으키지만주변 이웃들의 작은 관심과 애정으로 자신도 무언가를 할 수 있다는 희망을 품기 시작한다.자신의 갱생의 모습을 다큐멘터리로 제작하고 싶어 하는 진지한 청년과도 만난다.하지만 13년이라는 시간의 공백과 범죄자라는 낙인은 쉽게 지워지지 않고 정상이라 말하는 이 세상은 자신이 소중히 지켜온 것마저 버리게 만들어 버린다.이 세상은 과연 그가 꿈꾸던 멋진 세계인가?,15세이상관람가
썸머 필름을 타고!,8.4,0.1,22.07.20,"“이번 여름엔 너희들의 청춘을 내가 좀 쓸게”시대극 찐팬으로 영화 감독을 꿈꾸는 고교생 `맨발`.영화 동아리에서 자신이 기획한 <무사의 청춘>이 탈락되자직접 영화를 만들기 위해 절친 `킥보드`, `블루 하와이`와 드림팀을 결성한다.우연히 극장에서 만난 미래에서 온 의문의 소년 `린타로`를 주인공으로 전격 캐스팅한 `맨발`은꿈에 그리던 촬영을 시작하지만 예상치 못한 문제가 터지는데…영화도, 꿈도, 사랑도 Ready Action!올 여름 최고의 청춘+로맨스x시대극÷SF 걸작이 온다!",전체관람가
