title,description,bloggername,bloggerlink,postdate
긴급! 코로나 변이 바이러스 BA.5 감염 시 증상,세계 보건 기구(WHO)는 지난 6월 코로나19 변이바이러스 BA.5를 우려 변이로 분류했어요. 잠잠해졌다 싶었지만 다시 기하 급수적으로 코로나19 확진자가 늘고 있는데요. 최근 지구상에서 가장 빠른 전파력을 가진...,마더케이 공식블로그,https://blog.naver.com/motherk1,20220816
동탄성모병원에서 코로나 입원치료 했어요,드디어 코로나. 너무 돌아다녀 어디서 걸린줄도 모르겠어요 임산부 동생들이 안걸려 참 다행이다 내가 확진을 받고 이틀만에 둘째가 열이나기 시작 동네 병원에 가서 코로나 확진 근데 이녀석 열이 떨어지질...,블리빈스토리,https://blog.naver.com/duddk1492,20220814
코로나19 치료제 처방 및 복약 안내,코로나19 유행이 재점화됨에 따라 천안시는 코로나19에 감염된 시민들이 쉽고 간편하게 먹는 치료제를 처방받을 수 있도록 경구용 치료제 전담약국을 운영하고 있습니다. 처방 절차 및 약국...,새로운 천안 행복한 시민,https://blog.naver.com/fastcheonan,20220817
코로나 원격진료앱 닥터나우로 약배달 받기,"코로나 확진자 15만명이 돌파했다고 한다. 보통 너무 아프면 병원가는 것도 힘들고 약 처방 언제받나... 원래 원격진료는 불법인데, 정부가 코로나라는 특수 상황때문에 원격진료를 허용해줬음. 약도 원격으로...",자기관리 지스타,https://blog.naver.com/ppower124,20220812
[닥터나우] 코로나 비대면진료 약처방받기,닥터나우 코로나 비대면진료 약처방받기 한여름에 코로나 걸려서 고생하는 중입니다~ 병원가기 귀찮고 아프다고 푸지게 잠만자서 비대면진료어플 닥터나우를 이용해 약처방을 받았어요 코로나 덕분에 이런...,12/12/12,https://blog.naver.com/tkghlqhrwl94,20220816
코로나 4차 접종 안 해도 된다? 그 진실은,저는 지난 8월 5일에 코로나 4차 접종을 맞았습니다. 그런데 접종 받으러 간 병원에 여느 때 같으면 접종자로 가득 넘쳐 났던 예전과 달리 한가한 정도가 아니라 저 혼자밖에 없었습니다. 코로나 백신 4차 접종...,새삶조각사의 그냥쫌해,https://blog.naver.com/1day1study,20220816
"방콕 코로나 검사, 룸피니 Siri medical Clinic 후기!",저는 음성확인서 제출 면제 대상인데 남편은 아니었기에 방콕에서 코로나 검사를 받았어요... 받았어요 코로나 검사 준비물 여권과 돈 300바트 Siri Medical Clinic +66 89 771 3684 https://goo.gl/maps...,꿈꾸는꿈틀이,https://blog.naver.com/ilp90,20220815
코로나19 경제회복 특례보증 소상공인 대상 신청(최대 3억원),코로나19로 인한 피해 회복이 아직도 굉장히 더딘 상태입니다. 그 이유는 간단합니다. 일단 세계적인... 따라서 코로나19 경제회복 특례보증과 같은 정부지원 정책이 절실한 상황인데요. 소상공인 특례보증이...,핀퐁 : 당신의 경제 나침반,https://blog.naver.com/topjoys,20220727
코로나19 재유행 대비 의료·방역 대응체계,"코로나19 의료대응 추진현황 및 향후 계획 (예방) 요양병원·시설 등 감염취약시설 선제적 대응... 28기준 현황 : 음압격리병상(분만 250→321개, 투석 288→428개), 소아전담병원 지정(246→1,688개) 코로나19...",[보건복지부] 따스한 메아리 따스아리,https://blog.naver.com/mohw2016,20220729
코로나 정말 아픈거구나,2022년 8월 2주차 8월 8일 월요일 코로나 확진 D+3 지난주 토요일 코로나 확진을 받고 나는 무증상으로 지나갈 줄 알았는데 세상 이렇게 아팠던 적이 있나 싶을 정도로 아팠다 우선 태어나서 열이 36.5도를 넘어본...,혼자서도 잘하는,https://blog.naver.com/eunbin809,20220814
아기 열 39도 코로나 검사 받다,시기가 시기인 만큼 혹시 코로나는 아닌가 걱정도 되기도 하고 집에서 코로나 검사만 몇 번을 하는지 몰라요. 저도 며칠 전에 아이가 갑자기 열이 나기 시작하더니 39도까지 올라서 얼마나 가슴이 철렁하는지...,슬기로운 육아생활,https://blog.naver.com/njjung0565,20220815
냉방병 코로나 감기 증상 차이 예방 방법,"아무래도 아직 끝나지 않고, 다시 기승을 부리는 코로나가 있기에 더욱 걱정되는 것도 사실이었어요. 혹시 지금 내 몸에서 생기던 이런 요인들이 코로나일지, 냉방병일지, 감기인지 궁금하다면 증상 차이를...",★ 고든몸한의원,https://blog.naver.com/ddx4389,20220809
코로나 자가격리 집밥 일기 1,8살인 첫째 코로나 확진으로 당분간 자가격리니 집에서 할 거 라곤 밥 하는 거 아니겠어요? 그래서... ㅋㅋㅋㅋ 식탁에 멸치볶음통을 시도때도 없이 열어서 먹고있다- 아- 진짜 내일은 또 뭐 먹지 #코로나식단 #집밥,잡다땡구스런 육아•일상,https://blog.naver.com/ddalkiji,20220814
내가 코로나 확진이라니!!,"사무실에서 기침이 나와서, 사람들이 코로나 아니냐고 물어봤을 때에도, 전혀 아니라고...간밤에 춥게자서 냉방병이 걸렸나보다고 얘기했다. 난 자신있었다. 코로나에 안걸릴 자신. 그리고 끝까지 최후의...",Joyce&apos;s room,https://blog.naver.com/happyjoyce,20220813
"위기의 코로나19, 확진된 산모의 모유 수유는 괜찮을까?",잠잠해질 줄 알았던 코로나가 다시 기승을 부리고 있습니다. 확산세가 더욱 빨라진 만큼 걱정이 전보다 많아졌을 수밖에 없는데요. 특히 모유 수유를 하고 있는 산모가 코로나에 확진이 되게 된다면 아이에게...,에이스산모케어 #노원산후도우미#중랑구산후도우미,https://blog.naver.com/chang5022002,20220817
코로나 켄타우로스 증상 변이 전파력,무더위가 조금 잦아들기 시작하니까 다시금 코로나 변이 바이러스가 유행한 다는 소식이 계속 뉴스를 통해 전파되고 있습니다. 그런데 오미크론 변이 바이러스 가 계속되면서 코로나 재감염 사태가 지속 되고...,쩡권의 건강이야기,https://blog.naver.com/sssch3630,20220817
"포스트코로나 이후, OTT와 K-콘텐츠 발전 방안",포스트코로나 이후 OTT와 K-콘텐츠는 어떻게 발전했을까? 여러분은 어떤 미디어를 이용하시나요? 세대마다 변화하고 있는 미디어 그리고 포스트코로나 시대에는 어떻게 대응을 하고 있는지 소개해...,도란도란 문화놀이터,https://blog.naver.com/mcstkorea,20220809
코로나 확진자 증상 의료인 자가격리 기간,"코로나 확진자 2020년부터 참 잘도 피해왔다 20년 2월부터 창궐한 역병, 같은 해 1월부터 무려 대. 학. 병.... 뜬금없이 코로나 확진자가 되어버림^_^* ※(백신 3차 접종자, 이전 감염 이력 없음) 의료인 자가격리 난...",D슈 라이프,https://blog.naver.com/wltn3292,20220811
49개월 아들과 엄마의 코로나19 확진기(2),온국민의 절반 가까이 확진되고 있는 코로나19 나도 걸렸다 우리 아들과 함께 ㅠㅠ 이것은 결코 감기... 토요일 [재검사] 간밤에도 열이난 아들 간호하느라 몸살기운이 있는건지 아님 코로나로 인한 몸살인지...,열일쥬뷰,https://blog.naver.com/mirimirimiri,20220816
코로나 확진자 생활 지원금 신청 대상 정리했습니다,"현 정부는 대통령 선거 당시 과학 방역을 통해 코로나19에 대응하여 확산세를 줄여가겠다고 공언했지만, 7월 10일 1일 1만 2천 명이었던 수준에서 현재 15만 명가량으로 급격하게 오늘 코로나 확진자 수가...",핀퐁 : 당신의 경제 나침반,https://blog.naver.com/topjoys,20220809
코로나 건강관리세트 신청,코로나 건강관리세트 어쨋거나 왔다. 쨘 도착했다는.뭐가 들었는지 궁금했다. 거창하게 건강관리세트.... 코로나 양성이면 45일 동안은 계속 두 줄이 나온다. 양성으로. 재나마나 양성이다. 열이 날 때는 해열...,릴리마당,https://blog.naver.com/this7970,20220816
코로나 확진후기,이게 코로나 초기증상이라는 것을 8월 2일 (화) 아침에 일어났더니 몸이 이상하게 피로했고 몸살감기... 체온 재보니까 39.8도로 40도에 육박함 코로나 사태 터지기 이전(2017~2018년)과 논산 육군훈련소에서...,항공사고 블로그,https://blog.naver.com/rhfvm1111,20220814
"코로나19 백신 피해, 사망 위로금 1억 원으로 지원 강화","코로나19의 재확산세로 방역 당국에서 촉각을 세우고 있습니다. 백신 접종 이후 부작용이 있는 국민들... 위해 코로나19 예방접종 피해보상 지원센터를 운영하여, 보상 지원 업무를 전담 수행하기로...",[국세청 블로그] 아름다운 세상,https://blog.naver.com/ntscafe,20220726
코로나 격리자와 가족,"코로나가 코앞까지옴  남편의 코로나확진으로 7일동안 안방에서 격리를함. 남편 확진전날 나랑 빨대 하나로 같이 콜라를 마셨고, 우리 셋이 밀크셰이크 같이 마셔서, 나랑 먹보도 확진될까 무서웠음....",켈리의 스윗홈♥,https://blog.naver.com/kellyhj34,20220813
8월 2주차 주간일기 ꯁ with 코로나 확진 막차탑승,2주차 주간일기는 코로나 격리 생활ㅋㅋㅋㅋㅋㅋ 그렇게 우리집에도 찾아왔다. 코로나.... 8일 월요일 일욜 오후부터 열이나던 딸래미... 39.5도가 넘어가고 밤새 해열제를 교차복용 해도 열이 떨어지질...,러블리♡은남매 이야기,https://blog.naver.com/tpsl0124,20220814
"[일본] 일본입국전 코로나 양성 확진 7일간 증상, 미각/후각상실!","코로나 확진 2일차 약하게 두통/목아픔/기침/가래/배고픔/쓴맛 미친듯이 수분이 땡겨서 새벽부터 일어나... 코로나 걸리면 미각과 후각이 없어진다던데 특히 커피가 쓰고, 밥대신 먹으려고 두부 듬뿍 넣고 짠맛...",일본 직장녀의 東京생활기,https://blog.naver.com/misonip,20220815
코로나 후유증 증상 기침 두통 가래 두드러기,코로나 감염이후 완치까지 고생하는 것만큼이나 코로나 완치 후 후유증으로 고생하시는 분들이 정말 많은데요. 이런 이유에서 무조건 코로나에 감염되지 않는 것이 가장 최선의 방법이라 할 수 있습니다. 특히...,텃밭연구소,https://blog.naver.com/aldus_06,20220801
"코로나 냉 질 분비물 , 자가격리 5일차 기록",코로나 격리 한지 벌써 5일차?? 시간 왤케 빠루지 ㅠ ㅠ ?? 어제 엄마까지 확진 되는 바람에 안방에서 같이 격리중이다 #코로나기록 #미접종자코로나 오늘은 약 4일치 받은거 다 먹고 병원 가서 또 약받는날이다...,밍꼬미 블로그,https://blog.naver.com/nnalsrud,20220813
코로나19 광명시 상황 안내 - 2022.8.17.(수) 00시 기준,"위해 코로나-19 예방접종 완료하기 ▴올바른 마스크 착용으로 입과 코 가리기, 밀폐·밀집·밀접... 등 코로나19 의심 증상 있는 경우 또는 코로나 19 고위험군(고령층, 면역저하자, 만성호흡기 질환자...",광명시 공식블로그,https://blog.naver.com/gmcityhall,20220817
"결국, 코로나19 시작은 중국 우한 수산시장이었던 것 같다는 결론","코로나19가 중국에서 시작되었다는 것은 처음부터 거의 확실했고, 그게 야생동물들을... 우한에서 코로나19(COVID-19) 사태가 막 시작되었을 때 감염자들의 역학조사 결과를 상세하게 분석했다. 그 결과...",버둥거리는 비엔나 소시지,https://blog.naver.com/iiai,20220815
코로나 5개월만에 재확진 증상,3월 중순에 코로나에 걸려 열이 39.4도까지 올라 하룻밤에 실신을 네번이나 하면서 죽을 정도로 아팠는데 또 코로나에 걸려버렸다. 3/12에 확진 판정을 받았었고 8/12에 두번째로 양성 확진을 받았으니 딱...,초히의 일상여행,https://blog.naver.com/this840,20220814
소상공인 코로나 대출 신청 정리했습니다(변경 내용),"영세 자영업자를 위한 해내리부터, 코로나19 경제회복 특례보증, 재창업 특례보증 뿐만 아니라... 코로나 소상공인대출로는 상당히 조건이 좋습니다. 코로나19 경제회복 특례보증 코로나 특례보증의 경우...",핀퐁 : 당신의 경제 나침반,https://blog.naver.com/topjoys,20220727
코로나 걱정 없이 '우리 가족끼리만' 온천 즐긴다는 ‘가족탕’...,코로나 시국 온천 여행의 새로운 기준이 됐다는 ‘가족탕’을 직접 찾아가 보고 부곡온천 현재 상황을... 코로나 시국 대중 목욕탕이 영업을 중단하고 여러 제약이 생기자 객실마다 마련한 커다란 ‘가족탕’...,네이버 여행+,https://blog.naver.com/the_trip,20220810
코로나 확진 후 출국부터 귀국까지 정리했어요!,3년동안 코로나를 용케 피했는데 출국 15일 전에 확진이 되버렸어요 흑.. 그래서 열심히 필요한... 자체가 코로나에 엄격하지 않은 것 같아요 2. 확진증명서 해외 → 한국 코로나 확진일로부터 10일~40일...,꿈꾸는꿈틀이,https://blog.naver.com/ilp90,20220815
해외여행 중 코로나에 걸리면 대처방법,코로나 사회적 거리두기 완화 후 해외여행 많이들 떠나십니다. 3년동안 비행기를 못 타본 여행객들 코로나로 미루었던 결혼식을 드디어 올리고 허니문을 떠나는 신혼부부들 등등 이들의 설레는 발걸음으로...,서울휘의 SideProject school,https://blog.naver.com/sybangse,20220803
코로나...내게도 오고 말았다,이집이 코로나속에서도 내디저트입을 살려줌 동거인이 사다주셔서 울면서 먹음 쑥카라멜마들렌미쳐따... 이제 어느덧 코로나격리마지막날 동거인생일이라 힘들게 미역국끓여줌 과거에 할인한다고 국거리...,연태꾸냥의 딩굴딩굴,https://blog.naver.com/tomomo23,20220813
[주간 여유재] 2022. 8월 코로나 투병기,"그동안 코로나를 잘 피해갔던 우리 가족에게도 결국 코로나가 찾아오고 말았습니다. 정황상 밤비가 영어캠프 갔다가 걸려온 것 같아요. 밤비는 캠프에서 돌아온 후 이틀째부터 열이 나기 시작, 그 이후 다른...",달콤한 밤비네,https://blog.naver.com/withzzinpang,20220814
접종 전 알아 두면 좋을 코로나19 4차접종 정보 모음집!,"5)의 확산으로 코로나19 확진자가 다시 늘어나며 재유형이 우려되고 있습니다. 이에 질병관리청은 계속되는 코로나19 확산세를 막고, 고위험군의 중증 및 사망 예방을 위해 4차접종 대상을 확대 시행하기로...",서울특별시의회 공식블로그,https://blog.naver.com/seoulcouncil,20220805
코로나19 감염 취약시설을 집중 관리합니다,원스톱의료기관 #코로나검사 #치료제 #처방 #진료 #팍스로비드 #라게브리오 #이부실드 #도입 #약국 #병원... 동선구분 #코로나19 #코로나 #예방접종 #4차접종 #당일접종 #사전예약 #당일접종 #접종대상 #노바백스...,[보건복지부] 따스한 메아리 따스아리,https://blog.naver.com/mohw2016,20220810
#코로나#오미크론 확진/증상일기.1일째,목이 답답하다고 의사 선생님께 설명 드리고 미열도 말씀 드렸더니 코로나는 아닌거 같은데..그래도... 뭔가 몸에 증상이 생기면 ”아!!!코로나 확진 됐구나..”하고 딱!!느낌이 온다는데.. 음..난 전혀..그런.....,Beads hae jew,https://blog.naver.com/hzni,20220816
코로나 8일차 여전히 세미격리 하기,와 #미접종자코로나 #코로나기록 #코로나8일차 코로나 격리해제 / 확진 8일차 증상 -가래 조금있음 -기침 조금있는듯 없는듯 - 미각 후각 살아남 회복 (세달도 간대서 절망 이었는데 다행) -냉 분비물 조금 있음...,밍꼬미 블로그,https://blog.naver.com/nnalsrud,20220816
코로나 두드러기 후유증 완치 후기,남들은 다 걸린다는 코로나 슈퍼 면역자라고 생각했던 나도 결코 그냥 넘어가지 않았다. 마스크도 잘 쓰고 다니고 방역도 철저하게 지키면서 퇴근하면 바로 집으로 향했던 내가 코로나 확진 판정을 받으니까...,Happy! Kim Ha Jung,https://blog.naver.com/khj0107,20220812
코로나 재확진 후유증 목아픔 미각 후각 상실 ing,코로나 후유증 1. 기침 2. 가래 3. 목아픔 (인후통) 4. 미각 저하 5. 후각 상실 6. 피곤 7. 근육통 8. 식욕 떨어짐 9. 기억력 저하 10. 우울감 처음 코로나 확정되었던 3월은 정말 3차 백신 맞고 2주후에 걸려서 인지 거의...,If you♡,https://blog.naver.com/00sweetlove,20220816
2022.071 아직도 두려운 코로나,"둘째네 직장동료가 코로나 확진이 되었다고 연락이 왔단다. 그래 저녁식사를 취소하고, 빨리 집으로... 아직까진 코로나와 멀리 떨어져 잘 지내왔다고 생각했었는데, 이젠 아주 가까운 곳까지 코로나란 친구가...","산행, 여행, 그 흔적",https://blog.naver.com/hoffnung2,20220813
"[일본]일본입국전, 코로나 양성 판정, 일본입국하는 방법","일본에 입국전에 코로나 양성판정을 받으면 대부분이 일본입국을 거부 당합니다. 하지만, 저는 양성 판정 받고도 일본에 무사히 입국 했답니다! 이제부터 그 방법을 공개합니다. 코로나 양성 판정 한국의...",일본 직장녀의 東京생활기,https://blog.naver.com/misonip,20220815
이 죽일놈의 코로나,어지러웠다 코로나 자가진단키트 해봤는데 음성나와서 감기인가하고 일하는데 갑자기 머리가 너무... 비빔만두해줌 코로나약 먹어야되서 어.쩔.스.없.이 3끼 챙겨먹는 중이라구요^^ 다음날 아침메뉴는 토달볶...,소지니의 데이트블로그,https://blog.naver.com/gop310514,20220814
며칠의 자유로움 그 후... 코로나 확진,"코로나 이후 처음인가? 두 번째인가? 가물가물.... 가볍게 생맥주에 하이볼 한 잔. 이게... 뭐라고 늦은 밤 단둘이 한잔하는 게 이렇게 해방감을 주나~~~ 그리고, 대망의 코로나 바이러스 접전의 날. 휴... 내가 그간...",지효맘 :D,https://blog.naver.com/cambell2,20220813
블챌 주간일기 챌린지 220812: 망할 코로나,제목그대로 망할코로나 입니다 #망할코로나 #부천순천향병원 아빠한테 연락이 온거예요. 낮에요 응급수술 들어간다고 응급실이라는거예요 무슨일인가 보니까.. 급성맹장염 2일동안 배가 아프셨대요. 그래서...,나무두치 그리고 하짱,https://blog.naver.com/hapetsalon,20220812
미접종자 코로나 증상 4일차 기록,#미접종자코로나 #코로나자가격리4일차 벌써 4일차? 너무 이제 아무렇지 않지만 .. #코로나기록 처음 백신 꼭 맞으라고 코로나 걸리면 미접종자는 더 아프다 뭐다 말 많았지만 여윽시 모든건 걍 사바사.. 미접종자...,밍꼬미 블로그,https://blog.naver.com/nnalsrud,20220812
코로나19 #208666~#210301 확진자 발생 안내(2022. 8. 16....,"16.(화) 18:00 기준 코로나19 확진자 1,636명이 발생하였음을 알려드립니다. 존경하는 강동구민 여러분... 코로나19가 종식되는 그 날까지 강동구는 구민 여러분의 생명과 안전을 지키기 위해 최선을...",강동구 공식블로그,https://blog.naver.com/gangdongpr,20220817
코로나 자가격리 집밥 3,⭐️코로나 자가격리 기간에 집에서 아이들 밥하는 일기⭐️  참고로 엄마인 나는 코로나 아님-♀️ 나는 코로나 4월에 걸렸었는데 걸리면 밥 못해요. 몸져 누워만 있어도 힘듦 그런데 어찌된 영문인지 지금...,잡다땡구스런 육아•일상,https://blog.naver.com/ddalkiji,20220816
코로나 미각상실 후각상실 6일차에 발생..!,#코로나기록 #코로나자가격리6일차 코로나 6일차 증상 기록 크게 미각상실과 후각 상실이 나타났다 대부분 이쯤 좋아지지 않던가? 그동안 입맛 좋게 잘 격리하고 있었는데ㅠ ㅋㅋ 어제 새벽부터 손을 씻는데...,밍꼬미 블로그,https://blog.naver.com/nnalsrud,20220814
"코로나 격리해제, 8월 2주차 일기","남들은 코로나면 마음편히 재택한다고 좋아하던데,, 나는 그러진 못했다. 일은 일대로 하필 데드라인이 코로나로 격해진 지난주였고, 이번주도 일에게서 피하지 못했다. 격리해제 D-1일쯤 되니 가래와 기침만이...",Always be Kind,https://blog.naver.com/ynlvhy,20220814
주간일기#10 건강해야해~코로나 자가키트.혈당계,뒷자리 직원이 코로나 걸렸다고 코로나 자가키트로 검사해보라고 딸내미도 회사에서 했는데 음성이라고 기저질환자인 엄마라 걱정되니 엄마도 해보라고 한번도 해본적없어서 안하고있으니 했냐고 채근...,행복한 노란장미의 손맛,https://blog.naver.com/mimi030630,20220813
코로나 자가격리기간 집밥일기 2,"코로나 기간에 밥하는 일기 참고 아이 둘 -초등1, 20개월인 아기 아침 남편이 해준 프렌치 토스트 진짜... 아이쿠 사과 넘쳐 흐르겠네 ㅋㅋㅋㅋ 다들 사과를 좋아해서- 코로나 걸리면 입맛없어진다해서(나도...",잡다땡구스런 육아•일상,https://blog.naver.com/ddalkiji,20220815
코로나 시대에서 살아남는 꼭 알아야 하는 현실적인 생존전략!!!,코로나로부터 배우는 생존전략 저자 고경찬 출판 시리우스 발매 2022.05.11. 이제는 정말 코로나에서 시작해 코로나로 끝나는 현실을 거부하기보다는 받아들여야 하는 부분들이 엄청 크기 때문에...,달소의 생활,https://blog.naver.com/tungyi33,20220816
코로나 확진 일기,"드디어,,, 2년 반 동안 잘 피해 다녔는데 코로나에 걸려 버렸다. 나 같은 경우는 증상 (발열, 기침)은... 코로나랑 싸운 처참한 현장. 4일 동안 열 때문에 땀이 너무 많이 흘려서 이불 5개를 갈아 치웠다. 나는 주로...",능로그,https://blog.naver.com/nxxgoori,20220816
솜운동일기 _  코로나에 버티기 / 주간일기 : 8월 2주,망할 코로나 언제 없어지는 걸까요.... 예전 코로나검사가 활발할때는 검사하러 갈곳이 더 있었던것 같은데 이제는 몇시까지 하는지 얼마를 받는지 보건소검사는 어디로 가야하는지 찾아야 하더라고요. 그동안...,솜 그림일기,https://blog.naver.com/somi245,20220814
"코로나 재유행 알아보기, 감기약 가격 상승과 코로나 관계",연일 젠요가하는 남자 쥬변에도 코로나에 재유행 되었다는 분들의 소식이 늘어가는 가운데.. 실제 국내에 준비된 코로나19 병상 중 현재 절반 정도가 코로나 재확진 환자로 차고 있다는 소식이 들려옵니다. 다들...,"내 몸의 특별한 에너지, 젠요가",https://blog.naver.com/zenyoga01,20220815
코로나 항체 주입 완,코로나 증상은 진짜 다르다더니 진짜 다름 출근하려고 일어났는데 몸이 너무 안 좋아서 '코로나 같은데?' 하고 바로 촉이 옴 너무나 선명한 양성 바로 병원 가서 주사 맞고 약 먹고 했더니 심하게 아픈 건 하루...,있는 듯 없는 듯,https://blog.naver.com/honeymme,20220813
아이 코로나확진,온가족이 다 코로나에 걸려도 혼자 잘 버티며 슈퍼항체니 뭐니 하더니만 지난주 친구들과 노래방... 연휴에 진료를 보는 병원이 몇개 없다보니 연휴동안 아팠던 아이 포함해서 코로나검사 받으러 온 중고생과...,글쓰는 워커홀릭,https://blog.naver.com/gkrdltk,20220816
"2019년 코로나19 팬데믹을 100년이 지난 후, 후손들은 어떻게...",사람들은 코로나19에 대해 간단한 대답을 원한다. 게다가 현재 주입되는 백신과 그리고 그 모든 것들이 이미 과학적 사실로 밝혀졌다고 믿는다. 하지만 결코 그렇지 않다! 물론 그 어떤 연구자도 현재로서는...,Ozone Therapy(오존 의학),https://blog.naver.com/goodozone,20220813
독일 코로나 확진 / 어학원 쫑파티,덕분인지 딸내미 둘은 무사히 넘어감.지인의 선물로 영양제의 에르메스라는 오토몰 이뮨도 계속 털어넣음 심한 감기 증상과 요란하게 치룬 코로나 일상 코로나끝나고 폰을 열어보니딸내미들 이러고 놀았니??...,소소한 행복 ♬,https://blog.naver.com/jooyeon7297,20220816
30. 코로나 + 코로나발가락,신속항원검사에서 코로나확진자가 되었다. 나는 컨디션이 너무 좋아서 역시 나는 슈퍼면역자구나 ! 라고 생각했는데 .... 월요일에 동거인 PCR을 받으러 보건소에 다녀왔다. 월요일 저녁부터 전형적인 코로나...,달빛이 너무 밝아 부끄러워,https://blog.naver.com/hyemingggg,20220812
코로나 격리해제후 보복식사 24시간 철원양평해장국,에 그러니까 코로나 확정 일주일 격리해제후 24시 되니 일단 어디든 나가고 싶었죠. 벚꽃이 활짝핀 일산... 평소 같으면 고추기름 듬뿍 넣었을텐데 코로나로 인해 목구멍이 허벌 아팠어요. 호호 불면서 입에 쳐...,양배추님 잘먹고 잘살기,https://blog.naver.com/jsjung1999,20220816
코로나 후유증(후각 상실),"8월 6일 오전, 코로나 양성 판정을 받고 7일간의 격리 끝에 지난 12일 저녁 음성 결과를 확인할 수... 평소 낮잠을 안자는 편임에도 코로나 투병 기간에는 자꾸 눕게 되고 쪽잠을 자면서도 밤에 또 눕기만 하면...",오늘도 감사합니다,https://blog.naver.com/byhozi,20220815
