평점,작성자,작성시간,공감수,비공감수,평가글
10,eclipse(pola****),2022.08.16 14:34,0,0,옥토넛의 탐험선 대작전!
4,라무(xjap****),2022.08.16 13:11,0,0,단편5개를 모아놓은거.. 불의고리나 대산호초 보호 이런것처럼1시간짜리 아니에요조조 아니고 일반 가격으로 봤으면 진짜 돈 아까웠을뻔했네요..아이가 워낙 어려서 불평없이 보기는 했지만 좀 많이 아쉬워요
2,쩡이(ol7i****),2022.08.16 12:42,0,0,리뷰 좀 보고 올걸...ㅜㅜ 실망이 너무 크네...
2,코끼리야(poet****),2022.08.16 02:29,0,0,극장판 맞나요?옥토넛 극장판 시리즈 중 최악돈도 아깝고 시간도 아까움
3,포대화상미륵존여래불(baks****),2022.08.16 01:33,0,0,돈독이 올랐나...해리포터책 신작이 나올때마다 낱개로4권짜리 만들어 쪼개팔기도 그렇고 벨벳튜브 벨벳 같은 짓꺼리 좀 하지 마라
1,러브여니(shyv****),2022.08.15 20:38,0,0,와 검색 안하고 그냥 예매한 내가 바보지…엄마가 미안타… 장편영화아니고요 그냥 5개 에피소드  붙여놓은 짜집기판입니다 이런걸 영화라고?양심없다 진쩌
5,럼앤콕(for6****),2022.08.15 20:28,0,0,워낙 어린아이라 좋고 자시고 할 것도 없었음.
1,알랍(dlcj****),2022.08.15 17:22,0,0,옥토넛 좋아하는데 보면서 푹 자고 나왔습니다
1,흔한친구(syun****),2022.08.15 11:30,0,0,쯧쯧 너무 재미었음 하…
2,User(gkcc****),2022.08.14 23:45,0,0,.  아니 애니메이션 은 역시 영화관에서보면안됨 돈만아깝고 진짜 큰화면으로 볼필요도없음 집에서 보는게  개꿀잼임
1,루이(bara****),2022.08.14 23:19,0,0,극장안에 아이들이 이거 언제 끝나냐고 몇번 말하네요...
1,우영우 변호사(cyj7****),2022.08.14 12:40,0,0,똑같은거 되팔지마라
1,kad(elen****),2022.08.13 19:44,0,0,장난하냐? tv판 묶어놓고 극장개봉하네. 코묻은 돈 빌어먹는거도 적당히해라
1,이건일(zcoo****),2022.08.13 16:10,0,0,그냥  애가  좋아해서..뭔가 아쉽네요 많이:.
1,younseo(9027****),2022.08.13 14:34,0,0,유튜브에서 충분히보는 단편시리즈 여러개 묶음.장난하나. 극장판인줄 알았더니 낚임 ..걍 유투브에서 보는게 나음 ...
1,Hyun_stella(gusw****),2022.08.13 13:42,0,0,그냥 TV시리즈 처럼 5편 연속으로 나와요! 기존 옥토넛 영화 아닙니다! 화질도 영화수준 아니에요.. TV를 빔 프로젝터로 확대해서 보는줄...이거 배급사에서 영화라고 홍보 하는건 문제 인는듯 합니다..
2,orion(yure****),2022.08.12 17:12,0,0,티비판을 이어서 보여줌. 당연히 극장판일거라고 생각하고 검색 안 해보고 간 내 잘못인가..아이들은 엄청 재미있게 보긴 했으니 된건가 싶기도 하고. 그래도 극장판은 음악도 좋고 그래서 기대했는데 많이 아쉬웠음
1,에스오 인터내셔널(soin****),2022.08.12 14:19,0,0,다들알바인가봐요... 영화가아님.. 이럴꺼면 집에서 티비로 보여줬겠어요..와..별하나도아까움
1,김선현(nrr3****),2022.08.12 13:47,0,0,에피소드로 되어있음. TV에 하는줄 알았네요. 재미도 별로. 극장판이 아님.
10,우유먹쟈(toob****),2022.08.12 13:33,0,0,조카가 3년째 좋아하는 옥토넛! ㅎㅎ 조카 덕에 해양생물 공부 제대로 하네요. 이번거도 잘 봤습니다!
10,소정(sord****),2022.08.11 13:31,0,0,아이들과 함께 보기 좋은 에듀메이션! 새로운 탐험선과 이야기가 등장해서 더 즐거워요~!
10,부비오(1501****),2022.08.11 12:17,0,0,믿고 보는 옥토넛~! 귀여운 캐릭터와 시원한 볼거리!! 넷플에는 없는 최신작이라 더 좋았어요!!
10,noname123(ally****),2022.08.11 12:16,0,0,귀염뽀짝한 캐릭터들과 탐험선 그리고 신기한 바다생물들에 대한 정보까지 아이들이 빠져들만 하네요^^
10,yoko9(kcsw****),2022.08.11 12:14,0,0,극장에서 첫 공개되는 이야기라 더욱 새로웠어요. 대왕고래~ 암초상어 등 신기한 바다 생물들이 많이 나오고 역시 믿고 보는 옥토넛!
10,잠만보(zul1****),2022.08.11 12:14,0,0,아이들이 보는 애니메이션인데도 스토리가 탄탄하고 캐릭터가 너무 귀여워서 시간가는 줄 모르고 봤다 나에게 옥토넛이란... 완전 힐링 그자체!!+_+
2,kong(zxcv****),2022.08.15 08:53,1,1,광고에 속았다광고에 나오던 내용이 한시간 내내 흥미진진하게 할줄 알았음. 그리고 그 대왕고래를 구해주기 위해 모든 탐험선이 총출동하는 줄 알았음 하지만 티비에서 하는 것처럼 짧은 이야기가 여러개 붙어있다. 게다가 각각 에피소드에서 탐험선이 하나둘 따로따로 등장한다…..
10,뮌슐랭(ganp****),2022.08.11 14:18,16,0,상영관이 적고 지방 사람이라 대구 동성로에 1박 2일 숙박해가면서 이 영화를 봤는데 영화가 주는 여운과 교훈을 생각해봤을 때 절대 헛걸음한게 아니라는 생각이 든다.
10,구구(rite****),2022.08.11 11:10,10,0,"한 남자의 갱생이란 점도 그렇고 주인공이 야쿠쇼 코지란 점도 그렇고, 어쩐지 이마무라 쇼헤이의 &lt;우나기&gt; 같다고 생각했는데 신기하게도 이 영화의 원작자가 &lt;복수는 나의 것&gt; 원작자랑 같은 사람이래서 믿음이 확 갔습니다. 문학적인 안목을 가진 기본기 충실한 영화가 이렇게 즐겁다는 걸 다시 생각하게 해주는 영화입니다."
10,한결같이(wans****),2022.08.12 09:49,8,0,모든게 완벽한 영화. 극찬을 아끼고싶지 않다.평범하게 살수있는 곳이 가장 멋진세계가 아닐까?야쿠쇼 코지의 연기는 혀를 내두르게 만든다.나도 그저 푸른 하늘 보면서 하루하루 평범하게 안온하게 살고싶다.
10,겨울방학(bymu****),2022.08.11 21:06,6,0,담담하게 봤지만 여운이 길게 남는 영화. 상영이 한정적이라 다들 혼자와서 묵묵히 감상하는 영화.
10,꿈꾸는 드팩민(love****),2022.08.12 19:18,5,0,이 세상은 살기 힘든 만큼 따뜻한 곳.. 그에게 이세상은 멋진 세계였을까.. 먹먹하고 많은 생각을 하게 하는 영화였습니다 여운이 길게 남을 것같아요
10,남산호랑(dirt****),2022.08.12 16:51,3,0,도망 치는 건 다음 기회를 노리는 것일 뿐 결코 비겁한 행동이 아니다. 오늘을 살아가는 모두 살아 남아 주세요
10,envy****,2022.08.14 21:10,2,0,"'유치하게 이렇게 끝나는건가...' 생각하는 순간! 방향을 틀어버리는 영화, 내가 바랐지만 바라지 않았던 씁슬한 결말을 보며 긴 여운이 남았던 영화"
9,목수바라기(imwg****),2022.08.12 00:43,2,0,"마지막 그들이 둘러 서 있던, 그 안에 머물던, 태풍이 마치기 전에 코스모스를 쥔 손을 펴지 못했지만 그럼에도 평범하고 눈이 부신 미카미의 멋진 세계"
8,하니(fafa****),2022.08.16 10:47,1,0,영화 보는 내내 미카미 유아가 생각나서 힘들었다
4,han9****,2022.08.16 08:47,1,0,나가사와마사미가 3분도 출연안하는데 주연이라고 하는건 기망행위입니다.
8,입치로(potc****),2022.08.15 01:28,1,0,보육원 씬은 가히 브로커 보다 나았다고 볼 수 있음
10,chae hyeon(dc07****),2022.08.14 20:10,1,0,"""정말 필요한 것 외에는 버리고 가지 않으면 자신을 지킬 수 없어""세상과 타협해 자꾸만 비겁해지는 자신을 마주할 때마다 꺼내볼 것"
10,신군(iszd****),2022.08.13 12:20,1,0,인상 깊게 봤습니다. 명작입니다.
9,복숭아(bego****),2022.08.13 08:23,1,0,"이탈자의 못난 인생보다 살아온 아픔을 안타까이 여길 줄 아는 마음, 그 멋진 세계에서 평범하게 살기 위해 치러야 할 대가는 멋지지 못하다는 한편의 씁쓸함"
8,Shind(cys6****),2022.08.13 01:38,1,0,13년 동안 교도소에서 복역했던 미카미가 사회에 나와서 좋은 사람들을 만난 건 미키미 속 멋진 세계일지 모르지만 범죄자라는 꼬리표 때문에 온갖 편견과 싸우는 이 세상은 전혀 멋진 세계가 아니었을 것이다. 범죄자 미화가 없었고 범죄자답게 미카미는 납득이 안 가거나 불의를 보면 화를 내고 분노를 표출했다 폭력까지 써가면서까지.. 쇼생크 탈출이 많이 생각나는 영화였다. 쇼생크 탈출의 전과자들이 사회생활에 적응을 못하고 스스로 목숨을 끊는 모습들이 나오는데 멋진 세계의 미카미는 꿋꿋이 살아가는 모습이 대조가 되기도 했다. 영화사 끝나도 생각한다 미카미씨한테는 이 세상이 이 세계가 멋진 세계였을까? 영화가 끝나도 잔잔한 울림을 주면서 여운까지 남게 했다.
6,cho4****,2022.08.12 23:50,1,0,영화 재밌게 잘 봤습니다
9,프라이머리(chen****),2022.08.12 23:18,1,0,"평범하게 살기 위해 인내하고 또 인내하는, 그런 멋진 세계."
2,BlackIist(bsnk****),2022.08.16 12:29,0,0,여배우가 왜 주연이라고 나오는거지? 차라리 욕탕에 같이들어간 여자역할을하지
7,asddsaasdsad(hitc****),2022.08.16 12:18,0,0,잔잔하고 괜찮았습니다
10,달팽이골수(rmsd****),2022.08.16 11:34,0,0,최근 봤던 영화 중 최고였습니다
9,jisi****,2022.08.16 09:52,0,0,세상에 필요한 영화
7,포대화상미륵존여래불(baks****),2022.08.16 01:27,0,0,일본에서 영화감독으론 먹고 살기힘들어서 부업으로 닥치는대로 뮤직비디오라든가 결혼식동영상 촬영을 하고 있다는 이 영화 멋진세계의 감독 니시카와 미와의 인터뷰가 정말 충격적이었다...
10,하늘여우별(narn****),2022.08.16 00:48,0,0,여러번 울컥했다. 카타르시스와 여운이 있다. 인간미와 인간애가 조화롭다.
10,777(kore****),2022.08.15 23:23,0,0,자신의 삶을 묵묵히 살아가는 희망메시지가 감동적입니다.
9,바이올렛(1948****),2022.08.15 22:44,0,0,평범하게 살아가기가 정말 힘듭니다. 가슴 아픈 이야기. 다시 태어날 때는 아주 평범한 삶을 살 수 있기를 바랍니다.
10,MachineGunKelly(thes****),2022.08.15 22:23,0,0,"평범하지 않은 삶을 살아왔던 남자, 평범하게 살아보려 발버둥친다.그가 그토록 갈망하던 삶은 우리가 살아가는 매일이며 우리는 그가 꿈꿨던 멋진세계에 살고있다."
8,단풍(yung****),2022.08.15 21:46,0,0,사회에  설자리가 없는 고통받는 영혼
10,jenv****,2022.08.15 20:17,0,0,
10,MichlOvesR(mich****),2022.08.15 17:04,0,0,결국 우리들이 살아가는 모든 사회의 이야기이다~현 사회를 봐라보는 감독님의 깊은 통찰력과 배우님들의 연기가 코 끝을 찡하게 했네요..ㅠㅠㅠ 재관람 할 듯 해요!
8,clie****,2022.08.15 17:04,0,0,"사람들이 따듯함 마음을 가지고 있다고 강조하는데, 글쎄요.참고로 일본은 사형을 집행합니다."
10,여름입미다(chan****),2022.08.15 02:08,0,0,교도소에서 외쳤던 나는 잘못없습니다 가 무색하게 사회에서 바래지는 과정을 담은 영화어떤의미에서 비극적인 영화라고 생각하지만그래도 남겨진 생각거리는 따듯한 햇살같은 느낌
10,냐옹이(sunn****),2022.08.14 22:15,0,0,"삶이 이렇게 마음먹은 대로 되지 않는다는 걸 인정해야 한다. 주인공의 얼굴이 눈빛이 간절함이, 나와 내 직업을 돌아보게 했다. 가끔은 몹시 숨막히는 이 회사가 언젠가는 그리워질까 싶어졌다. 이 멋진 세계 안에 이해할 수 없는 수많은 사람들. 마지막에 주인공이 쳐다보던 가위가 기억에 남는다"
8,yj4632777(jsyj****),2022.08.14 20:49,0,0,
7,가보트(elxm****),2022.08.14 20:17,0,0,노지마신지의 립스틱이 생각나는 영화
7,코봉이(ljh2****),2022.08.14 16:05,0,0,사회에서 격리되었던 범죄자들이 다시 평범한 일상을 찾아 돌아오는것이 정말 쉽지않게 느껴져요...갱생을 돕는것도 해야할일이지만 본인들의 노력이 정말 절실해야할듯요~ 그런 모습을 정말 잘 표현한 영화인듯해요~^^*
8,young(dnfu****),2022.08.14 08:02,0,0,제목의 의미를 오래 생각해보게 하는 결말이 묵직한 여운을 안긴다
10,쿠스(mert****),2022.08.14 07:12,0,0,뭉클한 장면이 아닌데 난 눈물이 찼다.집에 돌아와도 쉽게 여운이 가시질 않았다...
9,미루슈(star****),2022.08.14 03:07,0,0,따뜻한 이웃들의 모습이 아름다웠지만 뜬금없는 결말에 아연질색
10,alzl****,2022.08.13 23:19,0,0,
9,vincent(hirg****),2022.08.13 12:42,0,0,미카미씨를 보며 살아가는 방법을 하나 배운 것 같다. 쉽게 이야기 하기 어려운 훌륭한 작품.(그런데 나가사와 마사미는 5분도 안 나와요...왜 주연에 이름이 올라와 있나?)
7,akdrh(sp09****),2022.08.13 04:18,0,0,오늘도 짓무른 꽃 한 떨기를 흩어져라 짓밟는 '멋진 세계'
10,pon0****,2022.08.12 23:04,0,0,쉽지 않은 갱생의 길을 묵묵히 걸어가며
10,gold****,2022.08.12 21:35,0,0,"어설픈 감동을 주느니, 우아하게 협박하겠단 말인가?"
7,선민(conc****),2022.08.12 18:16,0,0,평범성의 위대함과 질곡/부조리에 대하여
10,우여(nswj****),2022.08.12 05:36,0,0,한동안 미카미는 앓이를 하게 될것 같다
7,kth(suho****),2022.08.12 00:27,0,0,멋진 세계란 평범한 사람들이 평범하게 살아가는 세계.
7,cosetteee(sung****),2022.08.11 23:49,0,0,잔혹하면서도 멋진 이 세계에서 적응하며 살아가기란
2,해(haej****),2022.08.14 23:41,0,1,...졸려요 졸려요 흠
7,Number 13(mjn0****),2022.08.11 18:28,2,3,우리가 사는 사회와 다양한 인간군상에 대해 생각하게 하는 영화였습니다. 한ㅁ디로 표 값하는 영화라고 하고 싶지만 만점을 주지는 못하겠습니다. 저에게는 너무 현실성이 없게 느껴졌거든요. 우리가 사는 세상에 저렇게 좋은 사람들이 존재할까요?! 물론 제가 못만나봐서 그렇게 생각하는 거지 있기는 할 겁니다. 그래도 영화에 등장하는 몇몇 인물든은 우리가 전생에 공덕을 많이 쌓았여야 만날까 말까한 인물들 아닌가 싶습니다. 요즘은 남을 어떻게든 뜯어먹고 이용해 먹을까 궁리하는 놈들 천지니까요... 제가 7점을 줬다고 안좋은 영화인 게 아니니 여건이 되시면 다른 분들도 꼭 보셨으면 좋겠습니다. 장르를 떠나서 사람에게 생각할 거리를 던져주는 작품이 진정 좋은 작품이라고 생각합니다. 이 영화는 충분히 그런 작품에 들어가고도 남습니다.
4,wellington st(jluv****),2022.08.14 15:39,3,5,공감 안되는 일본 영화
2,빈센트(vinc****),2022.08.14 01:06,2,5,너무 쉽고 설명적이다.
8,paul****,2022.08.13 00:06,4,0,이 모든 상황을 끌고 가는 2명의 배우의 연기력에 박수를
7,GGGGTTA(sill****),2022.08.12 23:25,4,0,굿 럭 에브리원
7,Loto(blac****),2022.08.12 17:22,4,0,"concupiscence, 누구나 갖고 있는 욕망에 대한 솔직한 대담."
7,zin(gywl****),2022.08.11 18:07,4,0,특별한 연출 없이 작은 공간에서 연기만으로도 충분한 영화..물론 받아들이냐 아니냐는 관객의 몫
8,눈이아파(5228****),2022.08.11 16:36,4,0,"관계에서의 대화는 정신적, 육체적 모두에게 이롭다."
6,woah****,2022.08.14 22:46,3,0,과연남녀가바뀌어도이렇게좋은평이나올까?
8,가이버(gaiv****),2022.08.14 07:42,3,0,납득하기 어려운 소재도 납득하게 만드는 놀라운 연기력
6,Ssil(aces****),2022.08.13 22:38,3,0,너무 솔직해서 오히려 비현실적으로 느껴지는 욕망
7,시소(bbon****),2022.08.12 23:46,3,0,배우들이 넘 매력있어용~
8,seeh****,2022.08.12 20:11,3,0,남주 눈이 너무 이쁘다. 그리고 잘생겼어
