팀1이름,팀2이름,팀1점수,팀2점수
KIA,삼성,4,3
한화,두산,0,1
넥센,삼성,4,3
SK,한화,2,6
LG,롯데,4,3
KIA,두산,6,7
넥센,SK,1,5
LG,롯데,9,11
KIA,삼성,5,6
한화,두산,5,6
넥센,삼성,2,0
SK,한화,6,4
LG,롯데,5,8
KIA,두산,1,5
삼성,한화,1,3
SK,LG,4,3
두산,넥센,5,12
롯데,KIA,7,1
두산,LG,16,4
넥센,SK,0,2
롯데,KIA,2,4
한화,삼성,5,13
삼성,한화,5,3
SK,LG,6,1
두산,넥센,9,3
롯데,KIA,10,2
한화,삼성,2,4
넥센,SK,6,1
두산,LG,8,3
삼성,한화,2,1
SK,LG,5,6
두산,넥센,5,3
롯데,KIA,5,2
두산,LG,4,2
넥센,SK,3,1
롯데,KIA,6,3
한화,삼성,8,1
넥센,롯데,3,4
SK,KIA,8,0
두산,삼성,0,2
한화,LG,0,2
삼성,KIA,6,4
SK,LG,7,5
두산,넥센,11,5
한화,롯데,4,3
넥센,롯데,2,3
SK,KIA,5,7
두산,삼성,12,3
한화,LG,0,1
삼성,KIA,1,6
SK,LG,7,0
두산,넥센,6,4
한화,롯데,6,3
넥센,롯데,4,5
SK,KIA,3,1
두산,삼성,1,3
한화,LG,5,1
삼성,KIA,0,3
SK,LG,6,4
두산,넥센,5,4
한화,롯데,5,3
롯데,삼성,3,6
LG,넥센,1,2
KIA,두산,3,8
한화,SK,3,4
SK,삼성,8,5
롯데,두산,9,2
LG,한화,5,11
KIA,넥센,12,1
롯데,삼성,6,5
LG,넥센,5,3
KIA,두산,3,8
한화,SK,5,2
SK,삼성,4,7
롯데,두산,5,3
LG,한화,6,7
KIA,넥센,4,1
롯데,삼성,9,1
LG,넥센,9,0
KIA,두산,2,12
한화,SK,1,2
SK,삼성,10,7
LG,한화,6,1
롯데,두산,1,4
KIA,넥센,3,1
SK,두산,5,4
롯데,한화,9,6
KIA,넥센,0,7
넥센,LG,5,2
삼성,롯데,1,4
두산,SK,5,3
KIA,한화,0,1
SK,두산,5,2
롯데,한화,4,7
KIA,넥센,4,2
넥센,LG,4,0
삼성,롯데,5,3
두산,SK,8,3
KIA,한화,10,4
SK,LG,8,4
KIA,삼성,2,14
넥센,LG,4,6
삼성,롯데,4,3
두산,SK,5,1
KIA,한화,6,5
넥센,SK,2,3
두산,롯데,6,5
넥센,롯데,7,6
삼성,두산,8,3
LG,KIA,4,6
한화,SK,3,7
두산,롯데,8,2
넥센,롯데,2,9
삼성,두산,4,11
LG,KIA,5,0
한화,SK,5,4
두산,롯데,11,2
삼성,LG,5,3
KIA,SK,1,2
넥센,롯데,2,1
LG,KIA,11,2
넥센,두산,5,12
롯데,KIA,8,9
한화,SK,4,3
SK,넥센,10,9
롯데,KIA,2,3
LG,삼성,1,0
한화,두산,5,2
넥센,두산,4,2
롯데,삼성,5,8
LG,SK,1,2
SK,넥센,7,3
롯데,KIA,6,5
LG,삼성,3,5
한화,두산,2,6
넥센,두산,5,2
롯데,삼성,4,1
LG,SK,3,4
SK,넥센,6,1
롯데,KIA,6,2
LG,삼성,6,3
한화,두산,3,4
넥센,KIA,5,4
삼성,두산,0,1
LG,SK,3,1
삼성,한화,12,5
롯데,SK,9,3
KIA,LG,2,4
삼성,두산,0,5
SK,넥센,8,4
LG,KIA,0,1
한화,롯데,3,4
삼성,한화,11,4
롯데,SK,7,3
KIA,LG,15,13
삼성,두산,10,9
SK,넥센,3,4
KIA,롯데,2,4
삼성,한화,1,5
두산,넥센,6,5
롯데,SK,7,5
KIA,LG,13,2
넥센,LG,1,2
두산,한화,2,7
롯데,SK,2,3
삼성,넥센,15,4
SK,KIA,9,5
두산,LG,8,5
한화,롯데,7,8
삼성,넥센,1,2
롯데,SK,1,7
LG,두산,7,2
삼성,넥센,4,1
두산,LG,5,7
SK,KIA,2,3
두산,넥센,16,3
삼성,넥센,7,2
SK,KIA,7,2
두산,LG,8,3
한화,롯데,4,1
SK,KIA,5,2
두산,넥센,2,8
롯데,LG,9,3
SK,삼성,6,7
롯데,넥센,4,8
LG,한화,6,8
KIA,두산,10,3
넥센,한화,3,5
SK,삼성,3,6
두산,KIA,2,8
롯데,LG,0,4
SK,삼성,0,3
롯데,넥센,11,2
LG,한화,11,7
KIA,두산,8,3
넥센,SK,8,4
LG,한화,8,2
SK,삼성,18,0
롯데,넥센,8,3
KIA,두산,6,2
삼성,롯데,12,3
삼성,LG,1,7
두산,롯데,1,2
한화,KIA,4,1
한화,KIA,1,6
넥센,SK,2,5
삼성,LG,4,3
두산,롯데,1,2
한화,KIA,3,7
삼성,두산,4,8
SK,롯데,5,2
넥센,한화,0,1
삼성,KIA,3,5
LG,두산,2,10
삼성,두산,7,4
SK,롯데,2,0
넥센,한화,2,6
삼성,KIA,4,1
LG,두산,3,4
두산,삼성,2,6
삼성,KIA,0,4
SK,롯데,3,1
두산,삼성,12,6
롯데,두산,2,5
LG,SK,3,4
KIA,넥센,2,10
한화,삼성,10,1
두산,삼성,6,4
롯데,두산,4,5
LG,SK,1,6
KIA,넥센,4,0
한화,삼성,13,8
삼성,두산,2,5
롯데,두산,4,9
LG,SK,5,19
KIA,넥센,1,2
한화,삼성,9,2
두산,SK,5,2
넥센,롯데,2,3
두산,삼성,3,6
KIA,SK,6,14
한화,LG,3,8
두산,SK,2,5
두산,삼성,14,3
넥센,롯데,2,8
KIA,SK,8,2
한화,LG,14,4
SK,두산,3,2
넥센,롯데,3,6
두산,삼성,1,9
KIA,SK,1,10
한화,LG,7,4
SK,두산,4,1
삼성,넥센,6,9
SK,두산,11,0
롯데,한화,9,4
LG,KIA,1,7
SK,두산,2,0
삼성,넥센,10,11
SK,두산,0,8
롯데,한화,8,9
LG,KIA,6,8
삼성,SK,2,12
두산,KIA,10,1
롯데,LG,4,1
한화,넥센,13,2
삼성,SK,1,3
두산,KIA,7,4
롯데,LG,9,3
한화,넥센,1,2
삼성,SK,3,9
두산,KIA,6,4
롯데,LG,10,0
한화,넥센,0,7
한화,SK,8,2
키움,롯데,2,3
LG,삼성,2,6
KIA,두산,5,7
넥센,두산,5,4
SK,롯데,9,5
LG,삼성,2,3
KIA,한화,3,5
키움,롯데,10,1
LG,삼성,3,5
KIA,두산,1,3
한화,SK,2,5
넥센,두산,4,12
SK,롯데,3,2
LG,삼성,1,2
KIA,한화,4,5
삼성,키움,8,10
SK,KIA,4,3
두산,한화,7,7
롯데,LG,1,3
넥센,두산,2,7
SK,롯데,3,1
LG,삼성,20,1
KIA,한화,4,1
삼성,키움,1,5
SK,KIA,4,6
두산,한화,2,3
롯데,LG,3,0
삼성,두산,1,10
LG,넥센,0,5
KIA,롯데,6,2
한화,SK,7,9
삼성,키움,5,9
SK,KIA,2,2
두산,한화,11,2
롯데,LG,3,6
삼성,두산,7,0
LG,넥센,3,6
한화,SK,2,0
삼성,KIA,5,2
SK,키움,16,4
두산,LG,5,8
롯데,한화,3,8
삼성,두산,2,1
LG,넥센,1,4
KIA,롯데,4,5
한화,SK,1,2
삼성,KIA,2,1
SK,키움,10,3
두산,LG,13,5
롯데,한화,6,10
SK,LG,2,4
두산,한화,4,6
롯데,삼성,3,7
롯데,한화,7,4
삼성,KIA,0,1
SK,키움,5,4
두산,LG,4,3
넥센,KIA,4,3
두산,한화,8,6
키움,두산,2,1
LG,SK,7,3
KIA,롯데,4,0
한화,삼성,7,5
넥센,KIA,2,12
SK,LG,3,4
두산,한화,5,6
롯데,삼성,11,3
LG,SK,4,4
KIA,롯데,0,1
넥센,두산,8,0
SK,한화,1,3
LG,롯데,0,7
KIA,삼성,11,0
키움,두산,1,0
LG,SK,6,5
KIA,롯데,3,2
한화,삼성,2,8
SK,한화,4,7
LG,롯데,6,2
KIA,삼성,5,4
SK,한화,10,9
두산,삼성,13,4
롯데,키움,13,8
KIA,LG,14,0
넥센,두산,2,4
SK,한화,4,3
LG,롯데,1,4
KIA,삼성,4,3
SK,한화,9,4
두산,삼성,3,12
롯데,키움,5,0
KIA,LG,2,7
삼성,SK,9,3
롯데,넥센,2,4
LG,두산,2,3
한화,KIA,1,4
두산,삼성,4,5
SK,한화,8,2
롯데,키움,2,6
KIA,LG,9,2
삼성,SK,0,3
롯데,넥센,4,9
LG,두산,1,5
한화,KIA,7,4
삼성,LG,5,3
두산,KIA,9,5
롯데,SK,1,9
한화,키움,8,4
삼성,SK,6,2
롯데,넥센,1,0
LG,두산,0,4
한화,KIA,2,0
삼성,LG,4,6
두산,KIA,6,4
롯데,SK,1,13
한화,키움,11,1
넥센,한화,4,7
삼성,LG,4,6
두산,롯데,8,3
KIA,SK,2,1
삼성,LG,4,1
두산,KIA,3,0
롯데,SK,2,8
한화,키움,7,6
넥센,한화,11,5
삼성,LG,0,3
두산,롯데,1,0
LG,롯데,7,6
KIA,삼성,5,6
넥센,한화,6,7
삼성,LG,0,2
두산,롯데,3,2
KIA,SK,1,3
키움,SK,1,7
LG,롯데,10,9
KIA,삼성,2,1
넥센,삼성,9,3
SK,두산,7,8
LG,한화,3,5
KIA,롯데,3,2
LG,롯데,3,5
키움,SK,3,4
KIA,삼성,10,2
한화,두산,2,6
넥센,삼성,2,6
LG,한화,4,11
KIA,롯데,4,1
키움,SK,7,4
넥센,삼성,6,9
SK,두산,2,6
LG,한화,7,11
KIA,롯데,2,3
키움,삼성,1,4
SK,두산,2,15
롯데,KIA,0,2
LG,한화,5,11
SK,넥센,3,2
두산,KIA,3,4
롯데,LG,3,4
한화,삼성,0,3
키움,삼성,3,2
SK,두산,6,6
롯데,KIA,7,2
LG,한화,4,3
두산,KIA,4,5
한화,삼성,3,4
키움,삼성,8,1
SK,두산,8,3
롯데,KIA,5,11
LG,한화,9,19
한화,삼성,4,5
키움,LG,5,9
삼성,SK,0,2
두산,롯데,11,5
한화,KIA,4,4
넥센,LG,4,0
삼성,KIA,1,7
두산,한화,4,5
롯데,SK,3,6
키움,LG,2,6
삼성,SK,5,4
두산,롯데,7,2
한화,KIA,5,7
넥센,LG,5,1
삼성,KIA,6,3
롯데,SK,6,7
두산,롯데,2,4
키움,LG,4,7
삼성,SK,3,4
한화,KIA,9,6
삼성,KIA,13,2
두산,한화,3,6
삼성,한화,4,2
SK,롯데,4,0
LG,두산,12,0
KIA,키움,6,7
한화,롯데,1,5
삼성,한화,8,5
SK,롯데,6,3
LG,두산,3,1
KIA,키움,6,5
한화,롯데,5,3
삼성,한화,6,5
SK,롯데,3,4
LG,두산,7,1
KIA,키움,10,3
삼성,두산,5,4
LG,SK,0,11
KIA,넥센,8,2
한화,롯데,2,9
키움,SK,4,4
롯데,KIA,3,4
LG,삼성,11,3
한화,두산,2,6
SK,삼성,3,6
롯데,두산,4,3
LG,KIA,0,5
한화,넥센,10,6
키움,SK,3,7
롯데,KIA,5,4
LG,삼성,5,1
한화,두산,3,4
롯데,두산,9,3
LG,KIA,5,1
한화,넥센,2,6
LG,삼성,1,3
키움,SK,2,8
롯데,KIA,1,2
한화,두산,0,4
SK,삼성,4,8
롯데,두산,9,6
LG,KIA,0,5
한화,넥센,4,2
삼성,롯데,5,8
SK,LG,16,10
두산,키움,3,1
KIA,한화,1,10
삼성,롯데,5,6
SK,LG,2,1
두산,키움,11,4
KIA,한화,10,8
삼성,넥센,5,2
두산,SK,3,4
롯데,한화,11,4
KIA,LG,2,4
삼성,롯데,6,8
SK,LG,8,4
두산,키움,11,4
KIA,한화,14,3
삼성,넥센,4,2
두산,SK,12,3
롯데,한화,7,3
KIA,LG,0,3
삼성,두산,3,5
LG,키움,22,17
KIA,SK,5,2
한화,롯데,1,7
삼성,넥센,5,3
두산,SK,4,9
롯데,한화,11,4
KIA,LG,8,0
삼성,두산,8,6
LG,키움,11,5
KIA,SK,3,4
한화,롯데,12,8
KIA,SK,4,1
한화,롯데,3,1
LG,키움,5,6
삼성,두산,7,8
넥센,KIA,1,3
삼성,롯데,4,7
SK,한화,4,2
두산,LG,6,3
키움,한화,2,4
SK,삼성,3,2
롯데,두산,3,11
LG,KIA,0,6
넥센,KIA,1,2
삼성,롯데,2,5
SK,한화,2,7
두산,LG,6,5
키움,한화,7,6
SK,삼성,10,0
롯데,두산,11,6
LG,KIA,2,4
넥센,KIA,5,0
삼성,롯데,5,7
SK,한화,16,2
두산,LG,4,7
SK,삼성,9,4
LG,KIA,13,13
넥센,SK,2,4
LG,롯데,3,8
KIA,삼성,3,7
한화,두산,1,6
키움,KIA,8,3
두산,SK,4,2
롯데,삼성,3,4
한화,LG,4,10
넥센,SK,0,8
LG,롯데,3,2
KIA,삼성,4,3
한화,두산,0,1
키움,KIA,13,4
두산,SK,2,1
롯데,삼성,5,8
한화,LG,6,5
넥센,SK,1,5
LG,롯데,9,11
KIA,삼성,5,6
한화,두산,5,6
롯데,삼성,7,4
키움,KIA,1,8
두산,SK,5,2
한화,LG,1,1
삼성,한화,1,3
SK,LG,4,3
두산,넥센,5,12
롯데,KIA,7,1
키움,두산,5,4
삼성,한화,3,2
LG,롯데,0,6
KIA,SK,2,3
삼성,한화,5,3
SK,LG,6,1
두산,넥센,9,3
롯데,KIA,10,2
키움,두산,7,2
삼성,한화,3,8
LG,롯데,5,6
KIA,SK,5,2
삼성,한화,2,1
SK,LG,5,6
두산,넥센,5,3
롯데,KIA,5,2
키움,두산,4,0
삼성,한화,11,1
LG,롯데,13,3
KIA,SK,1,7
넥센,롯데,3,4
SK,KIA,8,0
두산,삼성,0,2
한화,LG,0,2
SK,삼성,4,5
두산,한화,3,1
롯데,키움,5,7
KIA,LG,12,5
넥센,롯데,2,3
SK,KIA,5,7
두산,삼성,12,3
한화,LG,0,1
SK,삼성,3,8
두산,한화,8,7
롯데,키움,8,10
KIA,LG,5,1
넥센,롯데,4,5
SK,KIA,3,1
두산,삼성,1,3
한화,LG,5,1
SK,삼성,6,5
두산,한화,2,0
롯데,키움,3,7
KIA,LG,7,5
롯데,삼성,3,6
LG,넥센,1,2
KIA,두산,3,8
한화,SK,3,4
키움,삼성,2,9
두산,KIA,9,3
롯데,SK,2,3
한화,LG,11,10
롯데,삼성,6,5
LG,넥센,5,3
KIA,두산,3,8
한화,SK,5,2
키움,삼성,2,10
두산,KIA,2,5
롯데,SK,1,2
한화,LG,11,10
롯데,삼성,9,1
LG,넥센,9,0
KIA,두산,2,12
한화,SK,1,2
키움,삼성,5,6
두산,KIA,5,4
롯데,SK,9,4
한화,LG,4,0
SK,두산,5,4
롯데,한화,9,6
KIA,넥센,0,7
삼성,KIA,1,3
SK,한화,3,4
롯데,두산,7,8
LG,키움,8,7
SK,두산,5,2
롯데,한화,4,7
KIA,넥센,4,2
삼성,KIA,1,2
SK,한화,14,5
롯데,두산,8,0
LG,키움,4,11
SK,LG,8,4
KIA,삼성,2,14
삼성,KIA,3,4
SK,한화,5,4
롯데,두산,1,0
LG,키움,1,7
넥센,SK,2,3
두산,롯데,6,5
삼성,SK,5,3
LG,두산,0,4
한화,롯데,3,9
두산,롯데,8,2
삼성,SK,5,7
LG,두산,8,0
KIA,키움,2,4
한화,롯데,0,5
두산,롯데,11,2
삼성,LG,5,3
KIA,SK,1,2
삼성,SK,5,3
LG,두산,3,4
KIA,키움,9,6
한화,롯데,6,12
넥센,두산,5,12
롯데,KIA,8,9
한화,SK,4,3
키움,롯데,9,13
SK,LG,7,6
두산,삼성,15,3
한화,KIA,6,16
넥센,두산,4,2
롯데,삼성,5,8
LG,SK,1,2
키움,롯데,7,0
SK,LG,2,3
두산,삼성,17,5
한화,KIA,8,3
넥센,두산,5,2
롯데,삼성,4,1
LG,SK,3,4
키움,롯데,15,5
SK,LG,3,5
두산,삼성,5,1
한화,KIA,2,5
넥센,KIA,5,4
삼성,두산,0,1
LG,SK,3,1
SK,키움,3,6
롯데,삼성,2,10
LG,한화,6,3
KIA,두산,2,1
삼성,두산,0,5
SK,넥센,8,4
LG,KIA,0,1
한화,롯데,3,4
SK,키움,6,5
롯데,삼성,1,0
LG,한화,4,12
KIA,두산,4,5
삼성,두산,10,9
SK,넥센,3,4
KIA,롯데,2,4
SK,키움,1,6
롯데,삼성,9,6
LG,한화,12,6
KIA,두산,4,2
넥센,LG,1,2
두산,한화,2,7
롯데,SK,2,3
삼성,LG,4,5
두산,SK,4,8
KIA,롯데,3,6
한화,키움,4,1
삼성,넥센,1,2
롯데,SK,1,7
LG,두산,7,2
KIA,롯데,1,7
SK,KIA,2,3
두산,넥센,16,3
삼성,LG,5,6
두산,SK,3,8
한화,키움,5,8
KIA,롯데,7,4
두산,SK,11,2
한화,키움,6,9
삼성,LG,1,8
SK,KIA,5,2
두산,넥센,2,8
롯데,LG,9,3
키움,LG,11,8
SK,KIA,11,1
두산,롯데,3,7
한화,삼성,2,3
넥센,한화,3,5
SK,삼성,3,6
두산,KIA,2,8
롯데,LG,0,4
키움,LG,2,6
SK,KIA,3,3
두산,롯데,5,4
한화,삼성,7,9
넥센,SK,8,4
삼성,롯데,12,3
키움,LG,2,1
SK,KIA,5,6
두산,롯데,1,4
한화,삼성,5,10
키움,KIA,3,0
삼성,두산,4,5
롯데,한화,6,4
LG,SK,3,6
키움,KIA,10,2
삼성,두산,12,7
롯데,한화,4,3
LG,SK,1,3
삼성,두산,4,8
키움,KIA,1,5
삼성,두산,6,2
롯데,한화,2,0
LG,SK,2,8
삼성,두산,7,4
두산,키움,4,3
롯데,LG,5,6
한화,SK,2,4
두산,삼성,2,6
두산,키움,7,12
롯데,LG,6,4
KIA,삼성,4,5
한화,SK,2,10
두산,삼성,12,6
두산,키움,2,3
롯데,LG,4,3
KIA,삼성,14,9
한화,SK,3,11
두산,삼성,6,4
키움,삼성,3,10
SK,롯데,7,5
두산,LG,1,10
KIA,한화,9,1
삼성,두산,2,5
SK,롯데,0,1
두산,LG,4,11
KIA,한화,4,5
두산,SK,5,2
키움,삼성,3,4
SK,롯데,2,3
두산,LG,4,5
KIA,한화,3,14
두산,SK,2,5
키움,한화,12,10
SK,두산,2,4
SK,두산,3,2
키움,한화,4,7
삼성,롯데,3,2
SK,두산,3,8
LG,KIA,3,6
SK,두산,4,1
삼성,롯데,3,0
SK,두산,2,0
삼성,SK,7,2
두산,KIA,2,3
롯데,키움,3,0
한화,LG,4,5
삼성,SK,5,3
롯데,키움,4,3
한화,LG,8,0
두산,삼성,14,9
한화,롯데,1,8
SK,LG,2,3
두산,삼성,3,6
KIA,키움,7,4
한화,롯데,2,7
한화,SK,8,2
키움,롯데,2,3
LG,삼성,2,6
KIA,두산,5,7
SK,LG,10,4
두산,삼성,12,11
KIA,키움,2,6
한화,롯데,6,7
키움,롯데,10,1
LG,삼성,3,5
KIA,두산,1,3
한화,SK,2,5
롯데,SK,5,4
LG,삼성,3,8
KIA,한화,14,4
삼성,키움,8,10
SK,KIA,4,3
두산,한화,7,7
롯데,LG,1,3
키움,두산,8,12
롯데,SK,16,7
LG,삼성,8,10
KIA,한화,5,0
삼성,키움,1,5
SK,KIA,4,6
두산,한화,2,3
롯데,LG,3,0
삼성,키움,8,6
롯데,두산,14,2
LG,KIA,2,1
한화,SK,11,1
삼성,키움,5,9
SK,KIA,2,2
두산,한화,11,2
롯데,LG,3,6
삼성,키움,3,10
롯데,두산,3,10
LG,KIA,1,2
한화,SK,2,7
삼성,KIA,5,2
SK,키움,16,4
두산,LG,5,8
롯데,한화,3,8
삼성,키움,7,5
롯데,두산,6,4
LG,KIA,0,4
한화,SK,2,5
삼성,LG,8,9
SK,키움,2,3
두산,한화,7,2
KIA,롯데,12,2
삼성,KIA,2,1
SK,키움,10,3
두산,LG,13,5
롯데,한화,6,10
삼성,LG,5,6
SK,키움,6,4
두산,한화,3,7
KIA,롯데,3,14
롯데,한화,7,4
삼성,KIA,0,1
SK,키움,5,4
두산,LG,4,3
삼성,LG,8,2
SK,키움,15,8
두산,한화,2,1
KIA,롯데,7,5
키움,두산,2,1
LG,SK,7,3
KIA,롯데,4,0
한화,삼성,7,5
삼성,KIA,2,5
SK,두산,4,6
롯데,한화,7,0
LG,키움,2,3
LG,SK,4,4
KIA,롯데,0,1
삼성,KIA,3,7
SK,두산,1,5
롯데,한화,3,8
LG,키움,6,7
키움,두산,1,0
LG,SK,6,5
KIA,롯데,3,2
한화,삼성,2,8
삼성,KIA,3,4
SK,두산,11,4
롯데,한화,5,3
LG,키움,2,3
SK,한화,10,9
두산,삼성,13,4
롯데,키움,13,8
KIA,LG,14,0
키움,SK,8,9
두산,롯데,12,4
KIA,LG,12,2
한화,삼성,5,6
SK,한화,9,4
두산,삼성,3,12
롯데,키움,5,0
KIA,LG,2,7
키움,SK,8,10
두산,롯데,12,3
KIA,LG,9,7
한화,삼성,2,13
두산,삼성,4,5
SK,한화,8,2
롯데,키움,2,6
KIA,LG,9,2
키움,SK,3,2
두산,롯데,5,2
KIA,LG,11,6
한화,삼성,6,7
삼성,LG,5,3
두산,KIA,9,5
롯데,SK,1,9
한화,키움,8,4
삼성,롯데,4,7
두산,LG,0,2
삼성,LG,4,6
두산,KIA,6,4
롯데,SK,1,13
한화,키움,11,1
삼성,LG,4,1
두산,KIA,3,0
롯데,SK,2,8
한화,키움,7,6
키움,한화,5,4
삼성,롯데,1,3
SK,KIA,6,9
두산,LG,3,0
LG,롯데,7,6
KIA,삼성,5,6
키움,한화,10,7
삼성,롯데,6,2
SK,KIA,3,6
두산,LG,6,7
키움,SK,1,7
LG,롯데,10,9
KIA,삼성,2,1
롯데,KIA,0,3
LG,롯데,3,5
키움,SK,3,4
KIA,삼성,10,2
한화,두산,2,6
삼성,키움,9,4
롯데,KIA,0,2
LG,SK,3,6
한화,두산,5,10
키움,SK,7,4
삼성,키움,0,5
롯데,KIA,8,5
LG,SK,5,2
한화,두산,2,11
키움,삼성,1,4
SK,두산,2,15
롯데,KIA,0,2
LG,한화,5,11
SK,한화,3,0
두산,키움,3,7
롯데,LG,14,11
KIA,삼성,9,2
키움,삼성,3,2
SK,두산,6,6
롯데,KIA,7,2
LG,한화,4,3
SK,한화,5,1
두산,키움,8,5
롯데,LG,2,9
KIA,삼성,4,14
키움,삼성,8,1
SK,두산,8,3
롯데,KIA,5,11
LG,한화,9,19
SK,한화,3,4
두산,키움,6,7
롯데,LG,5,4
KIA,삼성,10,8
키움,LG,5,9
삼성,SK,0,2
두산,롯데,11,5
한화,KIA,4,4
키움,KIA,2,9
삼성,한화,10,7
SK,롯데,9,4
LG,두산,7,3
키움,LG,2,6
삼성,SK,5,4
두산,롯데,7,2
한화,KIA,5,7
키움,KIA,4,1
삼성,한화,5,13
SK,롯데,4,1
LG,두산,6,1
두산,롯데,2,4
키움,LG,4,7
삼성,SK,3,4
한화,KIA,9,6
SK,롯데,11,8
LG,두산,3,12
삼성,한화,4,2
SK,롯데,4,0
LG,두산,12,0
KIA,키움,6,7
삼성,두산,4,1
LG,롯데,8,7
KIA,SK,8,4
한화,키움,9,4
삼성,한화,8,5
SK,롯데,6,3
LG,두산,3,1
KIA,키움,6,5
삼성,두산,5,12
LG,롯데,7,6
KIA,SK,11,4
한화,키움,2,4
삼성,두산,4,5
LG,롯데,3,6
KIA,SK,2,1
한화,키움,8,5
삼성,한화,6,5
SK,롯데,3,4
LG,두산,7,1
KIA,키움,10,3
키움,LG,5,4
두산,SK,2,3
롯데,삼성,7,5
한화,KIA,1,2
키움,SK,4,4
롯데,KIA,3,4
