title,originallink,description,pubDate
‘과학 방역’…코로나 100일 로드맵 성적표는?,https://news.kbs.co.kr/news/view.do?ncd=5535290&amp;ref=A,"코로나19 소식입니다. 신규 확진자는 18만 명대로 늘면서 지난 4월 이후 넉 달 만에 가장 많습니다. 이번... ""] 이른바 '과학 방역'으로 코로나19도 일상 의료로 대응하겠다는 게 인수위의 구상이었습니다....","Wed, 17 Aug 2022 21:29:00 +0900"
"코로나19 백신 접종 후 월경장애…""최대 5,000만원 지원""",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4825041,"코로나19 백신을 맞은 뒤 월경장애를 겪은 여성들은 최대 5,000만 원까지 의료비를 지원 받을 수 있게... 출혈)'을 코로나19 백신 '관련성 의심' 질환으로 추가하기로 의결했습니다. '관련성 의심' 질환이란 코로나19...","Wed, 17 Aug 2022 07:48:00 +0900"
"전주시의원, 코로나 자가격리 수칙 어기고 배낚시 하다 적발",https://www.yna.co.kr/view/AKR20220818036000055?input=1195m,전북 전주시의원이 신종 코로나바이러스 감염증(코로나19) 자가격리 수칙을 어기고 바다낚시를 해 경찰 조사를 받게 됐다. 18일 부안해양경찰서와 전주시의회 등에 따르면 최근 전주시의회 소속 A의원은 지난달 27일 낮...,"Thu, 18 Aug 2022 09:32:00 +0900"
"올해 수능 원서접수 18일부터…코로나 확진자, 대리접수 가능",https://www.yna.co.kr/view/AKR20220816073900530?input=1195m,"코로나19 확진 수험생과 고3 장애인 수험생은 대리접수를 할 수 있다. 교육부는 이달 18일부터 9월 2일까지... 다만, 코로나19 확진 등으로 격리 통보를 받은 수험생, 장애인(시험편의제공대상자), 수형자, 군 복무자, 입원...","Tue, 16 Aug 2022 12:01:00 +0900"
'백신 4차 접종 완료' 화이자 CEO 코로나19 양성 판정,https://www.ytn.co.kr/_ln/0104_202208160130381277,코로나19 양성 판정을 받았습니다. 불라 대표는 성명에서 화이자 백신을 4차까지 접종한 데 대해 감사한 마음이라며 매우 가벼운 증상을 겪고 있지만 상태가 좋다고 말했습니다. 또 역시 화이자에서 개발한 먹는 코로나19...,"Tue, 16 Aug 2022 01:30:00 +0900"
"[속보] 코로나 신규 확진자 17만8574명…위중증 470명, 사망 61명",https://www.bntnews.co.kr/article/view/bnt202208180010,"©pixabay 중앙방역대책본부는 오늘(18일) 0시 기준으로 신종 코로나바이러스 감염증(코로나19) 위중증 환자는 470명, 사망자는 61명이라고 밝혔다. 코로나19 국내 발생 신규 확진자는 17만7941명...","Thu, 18 Aug 2022 09:34:00 +0900"
"美, 이번에는 '영부인' 질 바이든 코로나 양성 판정",http://www.newsis.com/view/?id=NISX20220816_0001980418&cID=10101&pID=10100,여사가 코로나19에 확진됐다. 바이든 여사 측 엘리자베스 알렉산더 공보국장은 16일(현지시간) 성명을 내고 이같이 밝혔다. 바이든 대통령이 지난달 코로나19에 감염된 데 이어 배우자인 바이든 여사도 확진을 피해가지...,"Tue, 16 Aug 2022 23:38:00 +0900"
코로나 대출 착시효과 '여전'… 6월 은행 연체율 0.2% '역대 최저',http://moneys.mt.co.kr/news/mwView.php?no=2022081713380092095,은행들의 부실 위험이 낮아졌다기보단 2020년부터 확산한 신종 코로나바이러스 감염증(코로나19)으로 은행들이 소상공인과 자영업자 등을 대상으로 대출 만기연장과 이자 상환유예 조치 등 금융지원책을 지속한...,"Wed, 17 Aug 2022 13:44:00 +0900"
코로나 무한루프,https://www.yna.co.kr/view/PYH20220818022800013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소를 찾은 피검자들이 반사경에 비치고 있다. 2022.8.18,"Thu, 18 Aug 2022 09:31:00 +0900"
코로나 백신 접종 뒤 ‘잦은 생리·과다출혈’ 의료비 지원한다,https://www.hani.co.kr/arti/society/health/1054985.html,"코로나19 백신을 접종받은 뒤 월경이 잦아지거나, 출혈량이 정상 범위를 넘는 등 ‘이상자궁출혈’이 있다면... 이상자궁출혈을 코로나19 백신 ‘관련성 의심 질환’에 추가했다. 백신 접종 뒤 이상반응이 발생한 시기를...","Tue, 16 Aug 2022 19:57:00 +0900"
"""영국, AZ 코로나19 백신 추가 구매 계획 없어""",https://www.yna.co.kr/view/AKR20220817004100085?input=1195m,최윤정 특파원 = 영국이 아스트라제네카의 코로나19 백신을 추가 주문할 계획이 없는 것으로 확인됐다고 가디언이 16일(현지시간) 보도했다. 가디언에 따르면 영국 보건부는 아스트라제네카 코로나19 백신 추가...,"Wed, 17 Aug 2022 03:53:00 +0900"
"코로나19 신규확진 18만803명, 18주 만에 최고… 위중증 469명",https://biz.chosun.com/topics/topics_social/2022/08/17/5HTTGLKHEVHJFMQLKCEA4BXUEY/?utm_source=naver&utm_medium=original&utm_campaign=biz,"국내 신종 코로나바이러스 감염증(코로나19) 일일 확진자 수가 18만803명을 기록하며 지난 4월 중순 이후 최다치를 기록했다. 사망자는 42명 증가했으며, 위중증 환자는 469명을 기록했다. 중앙방역대책본부는...","Wed, 17 Aug 2022 09:31:00 +0900"
美영부인 질 바이든 코로나…'밀접 접촉' 바이든 음성(종합),http://www.newsis.com/view/?id=NISX20220817_0001980429&cID=10101&pID=10100,여사가 코로나19에 확진됐다. 바이든 여사 측 엘리자베스 알렉산더 공보국장은 16일(현지시간) 성명을 내고 이같이 밝혔다. 바이든 대통령이 지난달 코로나19에 감염된 데 이어 배우자인 바이든 여사도 확진을 피해가지...,"Wed, 17 Aug 2022 00:16:00 +0900"
수도권 주말 코로나19 당직병원 운영…산모 등 고위험환자 대응(종합),https://www.yna.co.kr/view/AKR20220817029351530?input=1195m,중증 코로나19 환자에게 신속히 병상을 배정하도록 하기 위한 당직 병원이 운영된다. 코로나19 중앙재난안전대책본부(중대본)는 17일 김성호 제2총괄조정관(행정안전부 재난안전관리본부장) 주재로 개최한 회의에서...,"Wed, 17 Aug 2022 11:53:00 +0900"
‘코로나 지원 착시’ 은행 대출 연체율 최저,http://www.fnnews.com/news/202208171758178850,소상공인과 자영업자의 대출 원리금 만기를 연장하거나 상환을 유예해주는 '코로나 금융 지원'에 따른... 코로나19로 피해를 본 소상공인의 대출에 대한 만기 연장과 상환 유예가 연체율 하락의 주요 원인이다....,"Wed, 17 Aug 2022 17:59:00 +0900"
[속보] 코로나 신규확진 17만8574명…위중증 470명·사망61명,https://news.kmib.co.kr/article/view.asp?arcid=0017383864&code=61121111&cp=nv,코로나19 신규 확진자 수가 17만명대로 집계됐다. 이 가운데 해외 유입 사례는 633명으로 역대 가장 많았다. 중앙방역대책본부는 18일 0시 기준 코로나19 신규 확진자가 17만8574명이라고 밝혔다. 한 주 전보다 1....,"Thu, 18 Aug 2022 09:47:00 +0900"
은행권 6월말 대출 연체율 0.20% '사상 최저'…'코로나 착시 효과',https://www.news1.kr/articles/4775317,소상공인과 자영업자의 대출 원리금 만기를 연장하거나 상환을 유예해주는 '코로나 금융지원'에 따른... 2020년 4월부터 금융당국 주도로 실시된 소상공인·자영업자 대출 원리금 만기연장·상환유예 등 코로나...,"Wed, 17 Aug 2022 12:00:00 +0900"
코로나19 재유행 계속,https://www.yna.co.kr/view/PYH20220818020400013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:26:00 +0900"
코로나 확산세·이른 추석 연휴 맞물려…'늦은 휴가족' 증가,https://www.yna.co.kr/view/AKR20220818038400003?input=1195m,모두투어·캐치패션 공동 설문조사…응답자 35% '9월 이후' 휴가 신종 코로나바이러스 감염증(코로나19) 재확산세와 이른 추석 연휴가 맞물리면서 '늦은 휴가'를 계획하는 사람이 많아지고 있다. 모두투어는...,"Thu, 18 Aug 2022 09:36:00 +0900"
[속보]코로나19 신규확진 18만803명···18주새 최다치,https://www.khan.co.kr/national/health-welfare/article/202208170931001,질병관리청 중앙방역대책본부는 17일 0시 기준 코로나19 신규 확진자가 18만803명이라고 밝혔다.... 코로나19 중증 환자 병상 가동률은 43.7%다. 보유병상 1790개 중 입원 가능 병상은 1008개다. 준·중환자를...,"Wed, 17 Aug 2022 09:32:00 +0900"
코로나19 검사,http://www.newsis.com/view/?id=NISI20220818_0019146582,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받고 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다....,"Thu, 18 Aug 2022 09:32:00 +0900"
코로나19 재유행 계속,https://www.yna.co.kr/view/PYH20220818020500013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:26:00 +0900"
코로나19 검사,http://www.newsis.com/view/?id=NISI20220818_0019146583,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받고 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다....,"Thu, 18 Aug 2022 09:32:00 +0900"
"완주군, 코로나19 재택치료 모니터링 취약계층 안전 도모",http://www.newsis.com/view/?id=NISX20220817_0001981032&cID=10808&pID=10800,전북 완주군은 코로나19 재택치료 건강 모니터링을 통한 취약계층의 안전을 도모한다고 17일 밝혔다. 완주군은 코로나19 재택치료 집중관리군에 대한 건강모니터링이 중단됨에 따라 사각지대 틈을 줄이기 위해 재택치료...,"Wed, 17 Aug 2022 11:26:00 +0900"
코로나19 검사,http://www.newsis.com/view/?id=NISI20220818_0019146587,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받고 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다....,"Thu, 18 Aug 2022 09:32:00 +0900"
코로나19 재유행 계속,https://www.yna.co.kr/view/PYH20220818020600013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:26:00 +0900"
오후 9시까지 전국서 17만70명 코로나19 확진…전날보다 5695명↓,https://view.asiae.co.kr/article/2022081721593380802,17일 오후 9시 기준 전국에서 약 17만명이 코로나19 확진 판정을 받았다. 서울시 등 각 지방자치단체에 따르면 이날 오전 12시부터 오후 9시까지 코로나19 확진자는 17만70명으로 집계됐다. 이는...,"Wed, 17 Aug 2022 21:59:00 +0900"
코로나19 재유행 계속,https://www.yna.co.kr/view/PYH20220818020700013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:26:00 +0900"
코로나19 검사,http://www.newsis.com/view/?id=NISI20220818_0019146570,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받고 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다....,"Thu, 18 Aug 2022 09:32:00 +0900"
"유엔인구기금, 코로나에 막힌 대북지원 1년 추가 연장 논의",https://www.yna.co.kr/view/AKR20220818022900504?input=1195m,유엔인구기금(UNFPA)이 신종 코로나바이러스 감염증(코로나19) 발병으로 중단된 대북지원 사업을 1년 더 연장할 것으로 보인다. UNFPA는 오는 29일 미국 뉴욕에서 열리는 집행이사회 정례회의에 2017년부터 시작한...,"Thu, 18 Aug 2022 08:35:00 +0900"
"""코로나 치료공백 막는다""…수도권 주말 당직병원 가동(종합)",http://www.newsis.com/view/?id=NISX20220817_0001981112&cID=10201&pID=10200,코로나19 재유행에 따라 중증 기저질환자 등이 주말에도 병상을 신속하게 배정받을 수 있도록 하는 조치다.... 정부는 국립중앙의료원과 수도권에서 코로나19 지정병상을 운영 중인 17개 상급종합병원 중 3개 병원이 참여해...,"Wed, 17 Aug 2022 12:14:00 +0900"
"태백시, 코로나19 재택 치료 의료취약계층 관리 강화",https://news.kbs.co.kr/news/view.do?ncd=5534929&amp;ref=A,"태백시가 코로나19 확진 집중치료 대상에 대한 정부 차원의 건강 모니터링이 종료됨에 따라, 재택 치료 중인 의료취약계층에 대한 자체 관리를 강화합니다. 관리 대상은 코로나19 재택 치료자 가운데 고위험군인 만 65살...","Wed, 17 Aug 2022 12:06:00 +0900"
끝나지 않는 코로나19 확산세,https://www.yna.co.kr/view/PYH20220818021400013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:27:00 +0900"
코로나19 확산세,http://www.newsis.com/view/?id=NISI20220818_0019146578,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받기 위해 줄 서 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를...,"Thu, 18 Aug 2022 09:32:00 +0900"
끝나지 않는 코로나19 확산세,https://www.yna.co.kr/view/PYH20220818021500013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:27:00 +0900"
"美 퍼스트레이디 질 바이든 여사, 휴가 중 코로나 확진",https://biz.chosun.com/international/international_general/2022/08/16/Z5A2GJU5XZAEDD2NGNDT3VF7TA/?utm_source=naver&utm_medium=original&utm_campaign=biz,조 바이든 미국 대통령의 부인인 질 바이든 여사가 16일(현지 시각) 신종 코로나바이러스 감염증(코로나19)에 걸렸다. 백악관은 이날 성명을 통해 바이든 여사가 코로나19 검사에서 양성판정을 받았다고 밝혔다....,"Tue, 16 Aug 2022 23:20:00 +0900"
코로나19 확산세,http://www.newsis.com/view/?id=NISI20220818_0019146574,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받기 위해 줄 서 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를...,"Thu, 18 Aug 2022 09:32:00 +0900"
다시 찾아오는 '코로나 겨울 재유행'…'과학방역'만 가지고 안된다,https://www.pressian.com/pages/articles/2022081808415629321?utm_source=naver&utm_medium=search,"'모두가 건강한 사회'를 위하여 여름과 함께 시작된 코로나19 재유행이 여전히 현재진행형이지만 그 피해는... 사회 전체적인 피해가 예전보다 적다해도 개개인에게 코로나19는 여전히 만만치 않은 질병이며, 특히...","Thu, 18 Aug 2022 09:02:00 +0900"
끝나지 않는 코로나19 확산세,https://www.yna.co.kr/view/PYH20220818021600013?input=1196m,코로나19 재유행이 지속되고 있는 가운데 18일 오전 서울 용산구보건소 선별진료소에서 피검자들이 줄을 서 있다. 2022.8.18,"Thu, 18 Aug 2022 09:27:00 +0900"
코로나로 멈췄던 '부산 수제맥주 페스티벌' 3년만에 오늘 개막,https://www.news1.kr/articles/4774847,"2020, 2021년에는 신종 코로나바이러스 감염증(코로나19) 여파로 열리지 못했다. 마지막으로 열린 2019년 페스티벌에는 약 2만7000명의 관람객이 방문했다. 전국 각지에서 모인 수제맥주 양조장에서 제조한 100여종의...","Wed, 17 Aug 2022 07:19:00 +0900"
코로나19 확산세,http://www.newsis.com/view/?id=NISI20220818_0019146577,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받기 위해 줄 서 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를...,"Thu, 18 Aug 2022 09:32:00 +0900"
코로나19 확산세,http://www.newsis.com/view/?id=NISI20220818_0019146579,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받기 위해 줄 서 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를...,"Thu, 18 Aug 2022 09:32:00 +0900"
"화이자CEO, 백신 4번 접종에도 코로나 확진…“아주 가벼운 증상”",http://www.munhwa.com/news/view.html?no=2022081601039910019002,"자사 치료제 팍스로비드로 치료중 ""상태 좋다...빠른 회복 자신한다"" 바이든도 4차 접종 불구 확진 사례 코로나19 백신을 제조하는 미국 제약사 화이자의 앨버트 불라 CEO가 코로나19 양성 판정을 받았다. 그는 백신을...","Tue, 16 Aug 2022 03:41:00 +0900"
코로나19 확산세,http://www.newsis.com/view/?id=NISI20220818_0019146575,0시 기준 코로나19 신규확진자가 17만8574명으로 집계된 18일 오전 서울 용산구보건소를 찾은 시민들이 검사를 받기 위해 줄 서 있다. 2022.08.18. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의 소중한 제보를...,"Thu, 18 Aug 2022 09:32:00 +0900"
"재고 쌓인 ‘코로나 치료제’… 낮은 처방률, 왜?",https://health.chosun.com/site/data/html_dir/2022/08/17/2022081702139.html,코로나19 확진자가 급증하면서 방역당국이 중증화·사망 예방 효과가 입증된 화이자의 '팍스로비드' 또는 MSD의 '라게브리오' 등 코로나 경구용 치료제를 적극적으로 처방해달라고 요청하고 있다. 그러나 17일 11시 기준...,"Wed, 17 Aug 2022 17:28:00 +0900"
"“코로나로 판로 막힌 귤, 온라인 판매 1년만에 매출 30배 껑충”",https://www.donga.com/news/article/all/20220818/115005764/1,설상가상으로 신종 코로나바이러스 감염증(코로나19)까지 확산되며 수매가 전혀 안 됐다. 애지중지 키운 귤을 결국 헐값에 팔아야 했다. 판로의 중요성을 절감한 그는 쿠팡으로 눈을 돌리게 됐다. 양 대표는 “쿠팡에서...,"Thu, 18 Aug 2022 03:01:00 +0900"
"“‘네버 코비드’, ‘코로나 비감염’으로 쓰세요”",https://news.kbs.co.kr/news/view.do?ncd=5533961&amp;ref=A,문화체육관광부와 국립국어원은 '네버 코비드'를 대체할 쉬운 우리말로 '코로나 비감염'을 선정했다고 밝혔습니다. '네버 코비드'는 코로나19에 한 번도 걸리지 않은 상태나 한 번도 걸리지 않은 사람을 이르는 말입니다....,"Tue, 16 Aug 2022 15:32:00 +0900"
[속보]코로나19 신규 확진 오후 9시까지 17만70명,https://www.khan.co.kr/national/national-general/article/202208172158001,17일 오후 9시까지 전국에서 17만여명의 코로나19 신규 확진자가 나왔다. 방역당국과 각 지방자치단체에 따르면 이날 0시부터 오후 9시까지 전국에서 17만70명이 코로나19에 확진됐다. 전날...,"Wed, 17 Aug 2022 21:59:00 +0900"
"질 바이든 여사, 코로나19 확진…백악관 ""가벼운 증상""",https://news.sbs.co.kr/news/endPage.do?news_id=N1006862361&plink=ORI&cooper=NAVER,조 바이든 미국 대통령의 부인인 질 바이든 여사가 코로나바이러스감염증-19에 걸렸습니다. 백악관은 성명을 통해 바이든 여사가 코로나19 검사에서 양성판정을 받았다고 밝혔습니다. 바이든 여사는 가벼운 증상을...,"Wed, 17 Aug 2022 00:06:00 +0900"
수도권 주말 코로나19 당직병원 운영,https://www.sedaily.com/NewsView/269U160VPR,중증 코로나19 환자의 병상 배정이 보다 원활해질 전망이다. 코로나19 중앙재난안전대책본부는 17일 김성호 제2총괄조정관(행정안전부 재난안전관리본부장) 주재로 개최한 회의에서 수도권 중증 병상 주말 당직병원 운영...,"Wed, 17 Aug 2022 15:09:00 +0900"
소아 코로나 사망자 증가…전체의 20%가 올해 7월 이후 발생,https://www.yna.co.kr/view/AKR20220817125600530?input=1195m,"소아청소년 코로나19 사망자 증가 추이를 면밀히 지켜보는 가운데 17일 소아 사망 사례가 1건 추가로 집계됐다. 중앙방역대책본부에 따르면, 이날 0시 기준 10세 미만 코로나19 사망 사례는 1건 늘어 누적 29건이 됐다....","Wed, 17 Aug 2022 15:57:00 +0900"
"수능 원서접수, 8월 18일~9월 2일…코로나 확진자·장애인 대리 접수 가능",https://www.dailian.co.kr/news/view/1143078/?sc=Naver,신종 코로나바이러스 감염증(코로나19) 확진자와 고3 장애인 수험생은 대리접수를 할 수 있다. 교육부는 이달 18일부터 9월 2일까지(토요일·공휴일 제외) 전국 84개 시험지구 교육지원청과 고등학교에서 수능 원서를...,"Wed, 17 Aug 2022 03:45:00 +0900"
코로나19 신규 확진 17만8574명…사망 61명·위중증 470명,http://www.kado.net/news/articleView.html?idxno=1140475,코로나19가 재유행하는 가운데 17만명대 신규 확진자가 발생했다. 18일 중앙방역대책본부는 이날 0시 기준으로 전국에서 17만8574명의 코로나19 신규 확진자가 발생했다고 밝혔다. 전날(18만803명)...,"Thu, 18 Aug 2022 09:50:00 +0900"
코로나 신규 확진 18만명…18주 만에 최대,https://www.hani.co.kr/arti/area/capital/1055014.html,코로나19 신규 확진자가 18만명대를 넘어 지난 4월 중순 이후 18주 만에 최다치로 집계됐다. 광복적 연휴 뒤 검사량이 늘면서 확진자도 증가한 것으로 보인다. 17일 김성호 중앙재난안전대책본부(중대본)...,"Wed, 17 Aug 2022 09:33:00 +0900"
"中경제 발목 잡는 '제로코로나', 세계 인플레 상승세 꺾었다",http://www.fnnews.com/news/202208171354244981,중국 정부가 코로나19 확산을 막기 위해 실시하고 있는 강력한 봉쇄령이 자국 내수 시장을 위축시키고 있는데 비해 세계 경제에는 희소식이 되고 있다. ‘제로 코로나’ 방역 정책은 중국 소비자들을 상대로 돈을...,"Thu, 18 Aug 2022 05:01:00 +0900"
"화이자 CEO, 백신 4번 맞고도 ‘코로나 확진’",https://biz.chosun.com/international/international_general/2022/08/16/UBR7Q4JSBRFONL725D7PUJA3M4/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 백신을 만드는 미국 제약사 화이자의 앨버트 불라 최고경영자(CEO)가 코로나 양성 판정을 받았다고 블룸버그 통신과 NBC뉴스 등 주요 외신이 15일(현지 시각) 보도했다. NBC에 따르면 불라는 이날 트위터에 “화이자...,"Tue, 16 Aug 2022 10:11:00 +0900"
'코로나19 재확산에 귀해지는 감기약',https://www.news1.kr/photos/view/?5531572,신종 코로나바이러스 감염증(코로나19) 재유행이 길어지면서 감기약 품귀현상이 심화되자 정부는 '사용량-약가연동 협상 제도(약가연동제)' 적용 완화를 계획하고 있다. 17일 제약업계에 따르면 보건복지부는 업계와...,"Wed, 17 Aug 2022 16:00:00 +0900"
"의협, 코로나19 먹는 치료제 처방 권고안 발표…""80대 이상 의심 증상 시 모두...",https://view.asiae.co.kr/article/2022081715590422585,코로나19 재유행에 먹는 치료제(팍스로비드·라게브리오)를 더 적극적으로 처방해야 한다는 목소리가 나오는 가운데 대한의사협회 코로나19대책전문위원회가 17일 치료제 처방에 관한 권고안을 발표했다. 위원회는...,"Wed, 17 Aug 2022 15:59:00 +0900"
코로나 이어 폭염…中 쓰촨성 계획정전에 애플·도요타 공장 멈췄다,https://view.asiae.co.kr/article/2022081708344993388,"위안지아하이 화베이전력대학 교수는 ""상대적으로 코로나19 발병이 적었던 쓰촨성에서 더 많은 전력이 소비됐다""면서 ""남부의 폭염에 따른 전력제한이 다른 지역으로도 확대될 수 있다""고 우려했다.","Wed, 17 Aug 2022 08:34:00 +0900"
